Rnk Team                           W-  L     RATE      SOS
514 UW-Parkside                   10-  4   51.845   48.960 (810)
515 Furman                         6- 12   51.837   53.724 (312)
516 Mount Mercy                   19-  3   51.832   47.535 (1127)
517 St Norbert                    12-  4   51.830   48.847 (840)
518 Bemidji St                     8-  8   51.809   51.572 (417)
519 Cortland St                   12-  3   51.789   48.391 (947)
520 Dartmouth                      4- 11   51.786   54.262 (276)
521 MidAmerica Nazarene           15-  6   51.782   49.258 (728)
522 Lynchburg                     14-  3   51.779   48.233 (988)
523 SW Oklahoma St                 7-  8   51.776   52.191 (370)
524 Malone                         9-  7   51.771   51.302 (436)
525 Azusa Pacific                  6-  7   51.766   52.174 (372)
526 Ferris St                      9-  9   51.763   51.781 (404)
527 Glenville St                   9-  6   51.758   50.781 (502)
528 William Jewell                 7-  8   51.757   51.682 (411)
529 NYU                           12-  4   51.756   49.256 (729)
530 Rochester MI                  20-  6   51.755   47.531 (1128)
531 Northern Illinois              4- 13   51.747   54.784 (225)
532 Rhode Island Coll             14-  3   51.736   47.984 (1052)
533 Eastern Washington             4- 14   51.729   54.682 (236)
534 Southern Nazarene              9-  8   51.721   51.200 (453)
535 Shawnee St                    11-  7   51.716   50.429 (549)
536 Cedarville                     9-  8   51.706   51.256 (442)
537 UC-San Diego                   5-  9   51.701   53.279 (338)
538 Adelphi                        8-  9   51.669   51.991 (387)
539 Briar Cliff                   16-  6   51.659   49.170 (757)
540 Lincoln PA                    10-  6   51.649   50.435 (548)
541 Hope Int'l                    18-  3   51.646   47.386 (1160)
542 Prairie View A&M               7- 12   51.644   52.900 (348)
543 Ouachita Baptist               8-  7   51.639   50.994 (473)
544 New Hampshire                  4- 13   51.637   54.282 (274)
545 Hampton                        5- 11   51.635   53.609 (316)
546 Nebraska-Omaha                 5- 16   51.634   54.796 (223)
547 Taylor                        15-  7   51.620   49.333 (719)
548 South Dakota Tech             15-  8   51.619   50.083 (595)
549 Eastern Illinois               4- 16   51.553   54.857 (214)
550 UNC-Greensboro                 4- 13   51.538   54.190 (284)
551 Belmont Abbey                 11-  5   51.520   49.618 (671)
552 Augsburg                      13-  3   51.497   48.321 (966)
553 NW Oklahoma St                 7-  9   51.479   52.182 (371)
554 Chicago St                     6- 15   51.468   53.917 (296)
555 Armstrong Atl St               9-  5   51.435   49.879 (621)
556 Sonoma St                      6-  9   51.430   52.711 (351)
557 Arkansas-Monticello            9-  7   51.428   50.437 (547)
558 UNC-Pembroke                  12-  6   51.406   49.370 (716)
559 Grace IN                      15-  6   51.398   48.940 (818)
560 Erskine                        9-  4   51.376   49.426 (705)
561 Concordia CA                  12-  6   51.364   49.391 (712)
562 Rutgers-Newark                14-  4   51.362   48.294 (976)
563 Dominican CA                   8-  6   51.361   50.496 (536)
564 Molloy                        10-  5   51.359   49.566 (681)
565 Luther                        12-  4   51.355   48.461 (932)
566 Lubbock Christian             10-  8   51.334   50.756 (507)
567 Adrian                        14-  3   51.333   47.611 (1117)
568 Richard Stockton              12-  4   51.329   48.467 (930)
569 MD-Baltimore County            4- 14   51.326   54.314 (270)
570 Mary Hardin-Baylor            14-  4   51.324   48.368 (953)
571 Wheeling Jesuit                8-  7   51.324   50.847 (491)
572 Mercyhurst                    11-  6   51.320   49.617 (672)
573 Colorado Mines                10-  5   51.319   49.774 (646)
574 Amherst                       15-  2   51.307   47.027 (1233)
575 Bethel TN                     18-  3   51.303   47.300 (1177)
576 Buena Vista                   11-  5   51.302   49.387 (713)
577 Emory                         11-  5   51.293   48.888 (825)
578 Western Oregon                 8-  7   51.292   51.112 (463)
579 Augusta St                     8-  5   51.285   50.047 (597)
580 Austin Peay                    5- 15   51.272   53.910 (299)
581 Faulkner                      17-  3   51.257   47.485 (1141)
582 Carson-Newman                 11-  3   51.241   47.755 (1093)
583 Centre                        12-  3   51.238   47.868 (1071)
584 Lamar                          4- 16   51.231   55.115 (181)
585 Old Dominion                   2- 16   51.230   55.454 (141)
586 Saginaw Valley St              7-  7   51.225   51.192 (454)
587 UW-La Crosse                  12-  6   51.207   49.154 (760)
588 Lenoir-Rhyne                  10-  6   51.188   49.911 (615)
589 Baldwin-Wallace               13-  4   51.176   48.360 (958)
590 UBC                           12-  2   51.175   47.454 (1148)
591 John Brown                    17-  4   51.168   47.210 (1198)
592 Henderson St                  10-  6   51.167   49.856 (628)
593 Eastern New Mexico             6- 10   51.163   52.528 (355)
594 Rocky Mountain                13-  8   51.160   49.711 (658)
595 Texas College                 13-  5   51.150   48.773 (856)
596 UW-Platteville                12-  7   51.149   48.740 (864)
597 South Carolina St              4- 13   51.145   54.499 (254)
598 Emmanuel GA                   18-  2   51.139   46.242 (1317)
599 Alabama St                     6- 14   51.130   53.742 (311)
600 Bloomfield                     9-  8   51.104   50.699 (515)
601 Tennessee-Martin               4- 15   51.096   54.602 (241)
602 Madonna                       16-  5   51.088   47.986 (1051)
603 Virginia-Wise                 10-  8   51.068   50.651 (521)
604 Randolph-Macon                 9-  9   51.064   50.733 (514)
605 Marietta                      13-  4   51.054   48.104 (1025)
606 Arcadia                       11-  6   51.039   49.523 (688)
607 Bishop's                       8-  4   51.029   49.411 (709)
608 Concordia TX                  13-  4   51.025   48.198 (1002)
609 Central St OH                 11-  7   51.014   49.936 (612)
610 Bridgeport                    10-  8   50.990   50.327 (567)
611 Northwood MI                   6- 11   50.990   52.295 (366)
612 Texas Wesleyan                13-  6   50.985   49.062 (781)
613 NYIT                          12-  5   50.983   48.987 (800)
614 Elizabeth City St             10-  7   50.981   49.895 (619)
615 SUNY-Purchase                 12-  2   50.974   47.173 (1205)
616 Seton Hill                     8-  7   50.966   50.491 (538)
617 Benedictine KS                14-  7   50.962   49.192 (747)
618 Valdosta St                   10-  5   50.949   49.012 (794)
619 Barry                          7-  7   50.947   50.922 (484)
620 Hanover                       11-  6   50.933   49.231 (734)
621 Florida A&M                    4- 14   50.905   54.077 (290)
622 Carroll WI                    11-  4   50.897   48.314 (969)
623 Pitt-Johnstown                 8-  7   50.889   50.247 (578)
624 Central Oklahoma               7- 10   50.885   51.830 (400)
625 Wittenberg                    12-  5   50.879   48.648 (883)
626 Southern Oregon               15-  7   50.877   48.943 (815)
627 Thomas More                   15-  3   50.868   47.131 (1213)
628 Edinboro                      10-  5   50.853   48.860 (834)
629 CSU-Stanislaus                 6-  8   50.852   51.405 (429)
630 TAMU-Corpus Christi            2- 14   50.849   55.292 (157)
631 Ave Maria                     15-  6   50.846   48.307 (972)
632 Post                          11-  7   50.846   49.682 (662)
633 Howard                         4- 15   50.837   54.527 (249)
634 St Michael's                   5- 10   50.836   52.440 (358)
635 Texas-Permian Basin            6-  8   50.827   51.353 (433)
636 Queens NC                      8-  6   50.817   49.996 (604)
637 Southern-New Orleans           9-  4   50.814   48.511 (918)
638 Arizona Christian             12-  8   50.807   49.871 (624)
639 WV Wesleyan                    8-  7   50.793   50.486 (539)
640 DeSales                       14-  3   50.791   46.991 (1240)
641 Culver-Stockton               15-  8   50.786   49.185 (751)
642 Salisbury                     12-  6   50.764   49.165 (759)
643 Daemen                        17-  5   50.761   47.107 (1218)
644 Emporia St                     7-  7   50.742   50.448 (546)
645 Vanguard                      13-  7   50.737   49.003 (796)
646 New Mexico Highlands           9- 10   50.732   51.138 (461)
647 Windsor                       11-  4   50.731   48.272 (982)
648 Abilene Christian              8-  8   50.726   50.355 (563)
649 Great Falls                   14-  9   50.710   49.451 (697)
650 Mississippi Valley St          2- 14   50.700   55.423 (144)
651 Lycoming                      12-  5   50.693   48.022 (1043)
652 Concordia NY                   8- 12   50.688   51.730 (407)
653 St Francis IN                 14-  8   50.687   49.181 (753)
654 West Florida                   8-  7   50.676   50.259 (577)
655 Colorado St-Pueblo             6- 11   50.675   52.055 (380)
656 Springfield                   14-  4   50.660   47.661 (1112)
657 Oswego St                     13-  3   50.660   47.106 (1220)
658 LSU-Shreveport                12-  8   50.648   49.905 (617)
659 New Orleans                    4- 12   50.644   53.422 (329)
660 Geneseo St                    11-  5   50.632   48.508 (920)
661 Bowie St                       7-  9   50.620   51.141 (460)
662 Our Lady of the Lake          12-  7   50.617   49.274 (725)
663 Gustavus Adolphus              9-  6   50.609   49.429 (704)
664 Liberty                        5- 14   50.602   53.267 (339)
665 Urbana                         9- 10   50.595   50.796 (499)
666 Hobart                         9-  6   50.580   49.447 (699)
667 Plattsburgh St                10-  5   50.578   48.953 (811)
668 SW Baptist                     5- 10   50.564   52.440 (357)
669 American Int'l                 5- 11   50.553   52.386 (363)
670 Alberta                       13-  3   50.548   47.153 (1210)
671 Capital                       11-  6   50.548   49.010 (795)
672 MIT                           12-  5   50.545   48.048 (1037)
673 Virginia St                    8-  8   50.526   50.603 (530)
674 Coll of the Ozarks MO         14-  6   50.519   48.224 (991)
675 Philander Smith               13-  5   50.504   47.909 (1065)
676 Old Westbury                  13-  3   50.492   46.791 (1264)
677 Ottawa ON                     16-  8   50.489   48.605 (894)
678 The Citadel                    4- 13   50.470   53.523 (321)
679 Benedict                      10-  5   50.462   48.421 (944)
680 Kennesaw St                    2- 17   50.446   55.035 (192)
681 Campbellsville                11-  7   50.436   49.057 (782)
682 Montana Tech                  11- 11   50.424   50.364 (562)
683 Bellevue                      14-  7   50.397   48.555 (910)
684 Eastern Mennonite             10-  7   50.379   49.375 (715)
685 Juniata                       12-  5   50.356   48.195 (1003)
686 Longwood                       3- 16   50.334   54.634 (239)
687 Birmingham-Southern           12-  4   50.331   47.687 (1101)
688 St Augustine's                11-  7   50.326   48.961 (809)
689 Texas-Dallas                  13-  5   50.322   47.686 (1102)
690 Midland U.                    13-  8   50.315   48.804 (851)
691 Oklahoma Wesleyan             14-  5   50.300   47.531 (1129)
692 Nazareth                      11-  6   50.291   48.726 (868)
693 Truman St                      6- 11   50.272   51.606 (415)
694 Ashland                        6- 10   50.269   51.426 (426)
695 MD-Eastern Shore               1- 13   50.260   55.688 (118)
696 Buffalo St                     9-  5   50.251   48.848 (839)
697 Lewis & Clark OR              11-  7   50.246   49.169 (758)
698 West Alabama                   6-  9   50.238   51.559 (418)
699 Messiah                       10-  6   50.237   48.886 (826)
700 Minot St                       6- 11   50.221   51.795 (402)
701 Western St                     7- 10   50.212   51.574 (416)
702 Binghamton                     4- 16   50.183   53.836 (305)
703 Concordia-Moorhead            10-  7   50.170   49.408 (710)
704 CSU-East Bay                   5-  9   50.156   51.735 (406)
705 St Francis PA                  1- 16   50.141   55.168 (173)
706 Concordia-St Paul              3- 13   50.140   53.453 (327)
707 Mid-America Christian         10-  9   50.118   49.763 (648)
708 Flagler                        8-  7   50.114   49.582 (677)
709 Indiana Tech                  15-  6   50.111   46.993 (1239)
710 Jackson St                     2- 14   50.106   54.573 (246)
711 Florida Tech                   7-  8   50.103   50.185 (585)
712 Albertus Magnus               15-  1   50.070   45.400 (1399)
713 Missouri Western               7-  9   50.054   50.400 (554)
714 William Paterson              11-  6   50.051   48.595 (896)
715 Muhlenberg                    10-  7   50.029   49.086 (775)
716 Union NY                      14-  2   50.018   45.678 (1378)
717 Rowan                         12-  5   50.012   47.900 (1067)
718 Humboldt St                    7-  9   50.012   50.780 (503)
719 Stillman                      10-  6   50.006   48.640 (887)
720 Cornerstone                   14-  7   50.001   48.031 (1042)
721 Whitman                       11-  6   49.992   48.275 (979)
722 Marian IN                     12-  8   49.984   48.491 (928)
723 Nebraska-Kearney               5- 11   49.984   51.951 (392)
724 Houston Baptist                4- 14   49.975   53.421 (330)
725 Carleton MN                    8-  6   49.972   49.322 (721)
726 DePauw                        11-  6   49.971   48.056 (1035)
727 Carthage                       8-  9   49.962   50.227 (580)
728 Tiffin                         6- 11   49.956   51.346 (434)
729 Southeastern FL               13-  9   49.952   48.656 (882)
730 Eastern Conn St               12-  5   49.949   47.643 (1114)
731 Franklin                      11-  7   49.933   48.825 (846)
732 Staten Island                 11-  3   49.923   46.914 (1245)
733 Fanshawe                      13-  2   49.922   45.549 (1388)
734 Scranton                      12-  6   49.917   48.242 (987)
735 Pomona-Pitzer                 11-  5   49.903   47.815 (1081)
736 Hawai`i Pacific                6-  7   49.899   50.008 (603)
737 Dakota St                     12- 10   49.880   49.459 (694)
738 Dickinson                     12-  5   49.867   47.840 (1077)
739 Webber Int'l                  11- 12   49.867   49.975 (606)
740 Lake Erie                      5- 11   49.863   51.961 (389)
741 St Mary KS                    16-  5   49.861   46.907 (1247)
742 Redlands                      11-  5   49.857   47.871 (1070)
743 Dubuque                       12-  4   49.844   46.867 (1255)
744 Wiley                         11-  7   49.829   48.690 (876)
745 Texas-Tyler                   12-  6   49.827   48.132 (1018)
746 CSU-Monterey Bay               7- 10   49.825   50.577 (531)
747 Minn-Duluth                    5- 12   49.823   52.058 (379)
748 Life GA                       10-  9   49.798   49.442 (700)
749 St Martin's                    6-  9   49.794   50.823 (493)
750 Bridgewater VA                10-  8   49.788   48.996 (798)
751 West Virginia St               6- 10   49.777   51.411 (427)
752 Western New Mexico             6- 10   49.775   51.230 (445)
753 IU South Bend                 15-  8   49.770   48.084 (1030)
754 Bethel MN                     10-  6   49.767   48.372 (952)
755 Morningside                   11- 12   49.765   49.893 (620)
756 Loyola NO                     11-  9   49.762   49.198 (743)
757 Southern Virginia              8-  3   49.759   46.868 (1254)
758 West Georgia                   7-  8   49.747   50.031 (600)
759 California Maritime           16-  7   49.746   47.769 (1091)
760 Northwestern MN               11-  6   49.745   48.355 (959)
761 Mobile                        11-  7   49.729   48.552 (912)
762 Morehouse                      8-  7   49.721   49.248 (732)
763 Valley City St                14-  8   49.702   48.343 (960)
764 Hood                          10-  6   49.693   48.274 (981)
765 York NE                       16-  7   49.677   47.521 (1133)
766 Warner U.                     12- 10   49.661   48.588 (899)
767 Defiance                      10-  8   49.653   48.872 (829)
768 Spring Arbor                  13-  9   49.653   48.620 (892)
769 Coll of Idaho                 10- 13   49.651   50.480 (540)
770 Oklahoma City                  8-  6   49.646   48.576 (902)
771 Ithaca                        11-  4   49.645   47.053 (1229)
772 Wartburg                      10-  6   49.637   48.306 (973)
773 Park                          11-  7   49.630   48.562 (904)
774 Presbyterian                   4- 15   49.617   53.195 (342)
775 Clayton St                     7-  8   49.607   49.843 (631)
776 Wayland Baptist               12-  8   49.597   48.496 (924)
777 Concordia QC                   7-  6   49.591   49.138 (765)
778 Cheyney                        6- 10   49.585   50.841 (492)
779 Tuskegee                       8- 11   49.584   50.698 (516)
780 St Vincent                    12-  5   49.582   47.412 (1157)
781 Johns Hopkins                 10-  7   49.580   48.636 (889)
782 East Central                   5- 10   49.569   51.251 (443)
783 Farmingdale                   11-  4   49.561   46.896 (1250)
784 Ferrum                         8-  7   49.546   49.335 (718)
785 Hardin-Simmons                10-  7   49.518   49.098 (772)
786 Curry                         11-  5   49.513   47.492 (1139)
787 UCCB                          11-  0   49.511   43.446 (1491)
788 Washington and Lee             9-  9   49.510   49.573 (679)
789 Grinnell                      11-  4   49.499   47.064 (1224)
790 Coe                            9-  7   49.456   48.760 (861)
791 Columbus St                    8-  8   49.430   49.291 (722)
792 Hope                           9-  8   49.428   48.431 (942)
793 U Sciences Phila               7- 10   49.425   50.388 (558)
794 Lourdes                       13-  7   49.425   47.343 (1172)
795 Central Methodist             12- 10   49.424   48.366 (955)
796 The Master's College          12-  8   49.397   48.208 (998)
797 Winnipeg                      13-  4   49.380   46.497 (1291)
798 Angelo St                      5- 11   49.371   51.276 (440)
799 Sheridan                      12-  4   49.364   46.576 (1281)
800 Dallas Baptist                 5- 10   49.363   51.059 (469)
801 Mount Olive                    6-  8   49.358   49.896 (618)
802 West Virginia Tech            11- 10   49.357   49.144 (764)
803 Westfield St                  13-  4   49.355   46.617 (1276)
804 Chicago                        8-  8   49.321   49.265 (727)
805 Moravian                       9-  7   49.317   48.788 (852)
806 Methodist                      7-  9   49.317   50.267 (575)
807 St Francis IL                 14-  8   49.288   47.666 (1110)
808 Trinity TX                    12-  5   49.271   47.015 (1237)
809 Claremont-Mudd-Scripps        12-  5   49.249   46.875 (1253)
810 Newberry                       6-  9   49.246   50.097 (594)
811 Clarkson                      12-  4   49.241   46.250 (1316)
812 Hiram                         10-  7   49.222   48.451 (935)
813 Fayetteville St                8-  8   49.210   49.194 (745)
814 Quincy                         7- 10   49.200   50.263 (576)
815 Mid-Continent                 12-  6   49.184   47.375 (1163)
816 Trine                         11-  7   49.184   48.050 (1036)
817 Chestnut Hill                  8-  8   49.169   49.182 (752)
818 Baker                         11- 10   49.162   49.063 (780)
819 NC Wesleyan                   10-  8   49.141   48.646 (885)
820 Saskatchewan                  10-  4   49.134   46.879 (1252)
821 Lakehead                       9-  5   49.122   47.333 (1174)
822 St John Fisher                 9-  8   49.115   48.473 (929)
823 Mohawk                        15-  4   49.113   45.685 (1376)
824 John Jay                      11-  5   49.111   47.174 (1204)
825 Ashford                       16-  7   49.110   46.518 (1289)
826 Huntington IN                 12- 10   49.099   48.364 (956)
827 Georgia Southwestern           7-  8   49.098   49.437 (702)
828 Dakota Wesleyan                9- 12   49.093   49.791 (642)
829 Aurora                        13-  6   49.072   47.041 (1230)
830 Trevecca Nazarene              6- 12   49.071   50.993 (474)
831 Spalding                      10-  7   49.065   47.514 (1136)
832 Sterling                      14-  9   49.054   48.082 (1031)
833 George Fox                     9-  6   49.043   48.133 (1015)
834 Queen's ON                    15- 12   49.028   48.575 (903)
835 Salem St                      11-  6   48.997   47.353 (1170)
836 Northern Michigan              4- 13   48.993   51.859 (398)
837 Southern Arkansas              6-  9   48.992   49.617 (673)
838 Black Hills St                 5- 11   48.992   51.110 (465)
839 Mansfield                      5- 10   48.991   50.885 (487)
840 Laurentian                    10-  7   48.991   47.805 (1086)
841 Tufts                         10-  7   48.960   47.742 (1095)
842 Viterbo                       13-  9   48.940   47.807 (1085)
843 Oregon Tech                   12- 11   48.935   48.623 (891)
844 Stevenson                      9-  7   48.930   48.081 (1032)
845 Penn St-Erie                  13-  5   48.921   46.127 (1334)
846 Felician                       6- 10   48.908   50.188 (584)
847 Cabrini                       11-  5   48.892   46.767 (1266)
848 St Joseph's IN                 4-  9   48.887   51.221 (448)
849 Georgia Coll & St              6-  8   48.882   49.651 (669)
850 Rio Grande                     8- 13   48.880   49.836 (633)
851 Baruch                        10-  6   48.880   47.548 (1124)
852 Concordia OR                  10- 10   48.864   48.855 (835)
853 Wilmington OH                  8-  9   48.863   49.040 (786)
854 St Catharine                   8- 10   48.855   49.188 (749)
855 Jarvis Christian               6- 11   48.850   50.630 (525)
856 California PA                  6-  9   48.846   49.774 (645)
857 Victoria                      10-  6   48.842   47.470 (1144)
858 Notre Dame OH                  5- 12   48.840   50.942 (482)
859 Virginia Intermont            12-  9   48.838   48.221 (992)
860 IU East                       13-  8   48.812   47.724 (1098)
861 Nebraska Wesleyan              8- 10   48.802   49.201 (742)
862 Tennessee Wesleyan            13-  9   48.769   47.809 (1084)
863 Talladega                     10-  8   48.767   48.157 (1008)
864 Brockport St                   9-  7   48.756   47.971 (1054)
865 Case Western Reserve           8-  8   48.751   48.838 (843)
866 UW-Eau Claire                  9- 10   48.731   48.940 (817)
867 Lindenwood-Belleville         18-  4   48.714   44.872 (1430)
868 Lebanon Valley                 7- 10   48.697   49.636 (670)
869 Cumberland TN                  7- 11   48.649   49.793 (641)
870 Robert Morris-Chicago          9- 12   48.627   49.191 (748)
871 Martin Methodist               9- 11   48.611   49.065 (779)
872 Point Loma Nazarene            3- 12   48.611   52.034 (383)
873 Oakland City                  11-  3   48.600   44.730 (1440)
874 Langston                       7- 11   48.584   49.722 (655)
875 Westminster MO                12-  6   48.583   46.665 (1272)
876 Biola                         11-  9   48.583   48.012 (1045)
877 John Carroll                   8-  9   48.578   49.019 (792)
878 Salem Int'l                    7- 11   48.573   49.772 (647)
879 Bethany WV                    12-  6   48.572   46.400 (1304)
880 Delta St                       6-  9   48.569   49.572 (680)
881 Colorado Christian             7- 12   48.567   50.034 (599)
882 Davis & Elkins                 3- 11   48.553   51.541 (421)
883 Olivet Nazarene               11- 10   48.551   48.209 (996)
884 Missouri S&T                   5-  9   48.548   49.909 (616)
885 Lakeland WI                   16-  4   48.546   45.317 (1405)
886 Gordon                        11-  5   48.541   46.522 (1287)
887 Roanoke                        7- 10   48.506   49.470 (692)
888 Beloit                         9-  7   48.498   47.850 (1076)
889 Keene St                      10-  6   48.484   47.170 (1206)
890 Lincoln MO                     3- 16   48.479   52.118 (375)
891 Coker                          6-  8   48.468   49.251 (731)
892 Mt St Mary NY                  9-  6   48.467   47.130 (1214)
893 McDaniel                      10-  7   48.460   47.422 (1153)
894 Merchant Marine                9-  8   48.457   47.781 (1088)
895 Clark MA                       9-  7   48.449   47.859 (1073)
896 San Diego Christian            5- 16   48.440   51.699 (410)
897 Kentucky St                    6-  8   48.436   49.256 (730)
898 Pacific OR                     9-  7   48.425   47.821 (1078)
899 Missouri Valley                9- 13   48.423   49.450 (698)
900 Chapman                        9-  7   48.397   47.655 (1113)
901 Academy of Art                 4-  9   48.390   50.468 (544)
902 Milw Engineering              13-  5   48.384   46.227 (1319)
903 Mary                           3- 13   48.384   51.867 (397)
904 Greensboro                     8-  8   48.381   48.494 (926)
905 Mississippi College            9-  8   48.358   48.148 (1011)
906 Lander                         6-  8   48.355   48.971 (807)
907 Illinois-Springfield           4- 12   48.349   51.222 (447)
908 Corban                         8- 13   48.341   49.814 (636)
909 Gettysburg                     9-  8   48.334   47.965 (1057)
910 Delaware Valley               10-  7   48.333   47.242 (1191)
911 Roosevelt                     13- 10   48.331   47.667 (1109)
912 North Greenville               6-  7   48.329   48.750 (862)
913 Maryville TN                   7- 10   48.307   49.086 (776)
914 Caldwell                       5- 12   48.295   50.457 (545)
915 Ohio Dominican                 3- 14   48.293   51.904 (395)
916 Central IA                     9-  6   48.293   47.304 (1176)
917 Skidmore                      11-  5   48.257   46.080 (1340)
918 Friends                       10- 10   48.254   48.133 (1016)
919 Red Deer                      10-  2   48.252   44.680 (1445)
920 UW-River Falls                 6- 12   48.248   50.208 (581)
921 Point U.                      13-  9   48.241   47.214 (1195)
922 Eastern Nazarene              12-  4   48.241   45.464 (1396)
923 Oglethorpe                    12-  6   48.228   46.318 (1310)
924 Concordia MI                  10- 10   48.220   48.114 (1021)
925 LaGrange                       7-  8   48.219   48.497 (923)
926 Northwestern OH               11-  9   48.176   47.594 (1119)
927 Tennessee Temple               8- 10   48.144   48.786 (853)
928 McMaster                       7-  7   48.141   48.102 (1026)
929 Alma                           7- 11   48.125   49.422 (706)
930 UW-Superior                    7- 12   48.122   49.452 (696)
931 Point Park                    11-  7   48.115   46.794 (1263)
932 Hilbert                       15-  4   48.101   44.727 (1442)
933 Dowling                        6-  9   48.100   48.985 (801)
934 Fraser Valley                  7-  8   48.096   48.263 (983)
935 Lock Haven                     5-  9   48.083   49.412 (708)
936 Potsdam St                     7-  8   48.081   48.445 (937)
937 Florida Memorial               5- 12   48.079   50.393 (556)
938 Ripon                          8-  8   48.074   48.127 (1019)
939 Fort Valley St                 6-  9   48.073   49.125 (766)
940 Asbury                        11-  9   48.072   47.348 (1171)
941 Hamline                        6-  9   48.062   49.123 (768)
942 Jamestown                     10- 14   48.059   49.124 (767)
943 Apprentice                    10-  6   48.059   46.659 (1273)
944 Humber                         9-  4   48.057   45.680 (1377)
945 OK Panhandle St                4- 13   48.056   51.299 (438)
946 Southern Maine                10-  7   48.054   47.010 (1238)
947 Keystone                      10-  6   48.049   46.591 (1280)
948 Paine                          6-  8   48.025   48.728 (867)
949 Wilmington DE                  4- 14   48.018   50.969 (478)
950 Col-Colorado Springs           2- 13   48.017   52.174 (373)
951 RPI                            8-  6   48.008   47.362 (1168)
952 Averett                        7-  9   48.000   48.683 (877)
953 Hartwick                      10-  6   47.980   46.295 (1312)
954 Drew                           9-  8   47.972   47.792 (1087)
955 Johnson & Wales FL            10- 10   47.958   47.814 (1082)
956 Rhodes                        11-  7   47.945   46.454 (1298)
957 Concordia WI                  10-  7   47.939   46.986 (1241)
958 Heidelberg                     9-  8   47.927   47.499 (1138)
959 Manitoba                      10-  6   47.926   46.724 (1269)
960 Avila                          7- 14   47.924   49.694 (660)
961 Andrews                        9-  4   47.912   45.648 (1380)
962 Worcester St                   9-  7   47.894   47.242 (1192)
963 UPR-Mayagüez                   2-  7   47.890   51.385 (432)
964 Missouri Baptist               8- 11   47.890   48.831 (845)
965 Mt Vernon Nazarene            10- 12   47.881   48.445 (938)
966 Mt St Joseph                   6- 11   47.875   49.695 (659)
967 Wesleyan                       8- 10   47.871   48.086 (1028)
968 Waldorf                        9- 12   47.867   48.647 (884)
969 New Jersey City                7- 11   47.853   48.998 (797)
970 FDU-Florham                    8-  8   47.852   47.812 (1083)
971 Kenyon                         9-  8   47.843   47.579 (1120)
972 Elizabethtown                  5- 10   47.842   49.560 (683)
973 Voorhees                      11- 10   47.840   47.676 (1104)
974 Medaille                      12-  6   47.835   45.643 (1383)
975 Babson                        10-  8   47.835   47.269 (1185)
976 Valor Christian                6-  3   47.832   45.916 (1353)
977 Niagara ON                    16-  7   47.818   45.688 (1374)
978 St John's MN                   6- 10   47.808   49.277 (724)
979 Bowdoin                        9-  6   47.807   46.530 (1284)
980 Goshen                         7- 14   47.799   49.550 (684)
981 Hamilton                       8- 10   47.796   48.454 (934)
982 Goldey-Beacom                  5- 12   47.786   49.954 (608)
983 Milligan                      13- 10   47.786   47.102 (1222)
984 Union TN                       3- 12   47.775   50.874 (488)
985 UW-Oshkosh                     6- 12   47.772   50.040 (598)
986 Northern New Mexico            7- 19   47.755   50.473 (542)
987 Morrisville St                11-  4   47.738   44.891 (1429)
988 Husson                        10-  5   47.737   45.829 (1359)
989 McKendree                      7- 10   47.737   48.495 (925)
990 Tabor                          8- 14   47.733   49.210 (737)
991 UPR-Bayamón                    1-  9   47.718   52.109 (376)
992 Trinity Baptist                6-  5   47.715   47.213 (1197)
993 Virginia Union                 3- 11   47.713   50.735 (513)
994 Francis Marion                 5-  8   47.710   48.806 (850)
995 George Brown                  14-  4   47.702   44.363 (1462)
996 Mary Washington                8- 10   47.694   48.313 (970)
997 Notre Dame CA                  5- 11   47.684   49.798 (639)
998 Washington Adventist           6- 13   47.672   49.777 (644)
999 St Gregory's                   6- 11   47.659   49.664 (667)
1000 Seneca                        14-  4   47.652   44.597 (1450)
1001 Peru St                        9- 13   47.647   48.493 (927)
1002 Aquinas                        9- 12   47.641   48.036 (1039)
1003 Marian WI                      9-  8   47.631   47.472 (1142)
1004 Maine-Farmington              13-  3   47.622   44.038 (1474)
1005 Eureka                        10-  6   47.621   46.254 (1315)
1006 Schreiner                      9- 10   47.602   47.989 (1050)
1007 Cincinnati Christian U.        9- 13   47.590   48.862 (833)
1008 Regis CO                       4- 11   47.586   50.429 (550)
1009 Ohio Christian                 6-  7   47.577   48.099 (1027)
1010 Northwest Christian            8- 15   47.573   49.187 (750)
1011 Acadia                         7-  3   47.563   44.989 (1425)
1012 Briercrest                    13-  3   47.563   44.339 (1464)
1013 St Joseph's ME                 9-  6   47.555   46.463 (1295)
1014 Allegheny                      8- 10   47.554   48.067 (1034)
1015 Calgary                        7- 12   47.554   48.866 (830)
1016 Gwynedd-Mercy                  8-  8   47.537   47.411 (1158)
1017 UPEI                           8-  2   47.535   44.544 (1456)
1018 Chowan                         5- 10   47.534   49.214 (735)
1019 Ohio Valley                    3- 14   47.532   51.546 (420)
1020 Nichols                        9-  7   47.532   46.898 (1248)
1021 Bluefield VA                   5- 15   47.526   50.511 (535)
1022 Claflin                        6-  9   47.514   48.636 (890)
1023 Olivet                         8- 10   47.509   47.995 (1048)
1024 Colorado College               9-  8   47.492   47.169 (1207)
1025 Lawrence                       7-  8   47.473   47.862 (1072)
1026 Purdue Calumet                12- 11   47.459   47.247 (1190)
1027 Huston-Tillotson               5- 13   47.456   49.848 (629)
