Rnk Team                           W-  L     RATE      SOS
1026 Edward Waters                  7- 10   47.215   48.176 (957)
1027 Albion                         6-  9   47.213   48.198 (949)
1028 U of the Southwest             8-  8   47.208   47.301 (1160)
1029 Brewton-Parker                 6- 11   47.196   48.717 (839)
1030 Mt Vernon Nazarene             8- 15   47.189   48.791 (822)
1031 Simpson IA                     5-  9   47.188   48.624 (856)
1032 Centenary LA                   5-  8   47.185   48.625 (855)
1033 NYIT                           5-  9   47.181   48.499 (878)
1034 Frostburg St                   8-  9   47.171   47.306 (1157)
1035 Dickinson                      7-  8   47.167   47.291 (1163)
1036 Millersville                   4-  9   47.155   49.085 (760)
1037 Felician                       5-  9   47.145   48.671 (848)
1038 Lyon                           6- 12   47.125   49.361 (707)
1039 Aurora                         8-  6   47.124   46.498 (1279)
1040 Queens NY                      4- 11   47.101   49.605 (673)
1041 Endicott                       9-  4   47.090   44.910 (1407)
1042 St Andrews                     6- 11   47.080   48.589 (862)
1043 Fredonia St                    7-  6   47.048   46.738 (1245)
1044 Beloit                         4-  8   47.041   48.902 (795)
1045 SW Christian                   8-  8   47.023   47.087 (1202)
1046 Texas Lutheran                 6- 10   47.020   48.290 (924)
1047 Livingstone                    3-  7   47.020   48.830 (814)
1048 La Sierra                      5- 14   47.017   50.063 (597)
1049 Fort Valley St                 5-  8   47.008   48.473 (883)
1050 Mount Union                    7-  8   47.007   47.147 (1189)
1051 Randolph Coll                  7-  9   46.997   47.248 (1172)
1052 Coll of Idaho                  6- 15   46.996   48.994 (779)
1053 Johnson & Wales FL             5-  7   46.993   47.813 (1046)
1054 Webster                        6-  8   46.985   47.848 (1036)
1055 Ryerson                        5-  8   46.983   47.988 (1005)
1056 Plymouth St                    5-  8   46.983   48.180 (955)
1057 Haskell                        6- 12   46.977   48.831 (813)
1058 Auburn Montgomery              3- 13   46.964   50.660 (506)
1059 Florida Memorial               4- 11   46.958   49.438 (695)
1060 Brandon                        7- 11   46.948   47.994 (1002)
1061 Stillman                       5-  5   46.948   46.861 (1230)
1062 Tabor                          8- 13   46.941   47.982 (1007)
1063 MacMurray                      6-  8   46.937   48.077 (983)
1064 Occidental                     6-  8   46.932   47.668 (1075)
1065 Moravian                       8-  8   46.928   46.810 (1236)
1066 DeSales                        8-  6   46.905   46.149 (1322)
1067 Bridgewater St MA              6-  7   46.887   47.279 (1166)
1068 Bryan                          8- 13   46.882   48.196 (950)
1069 Hannibal-LaGrange              9- 11   46.876   47.465 (1125)
1070 Langston                       4- 12   46.876   49.558 (679)
1071 Rockford                       7-  8   46.864   47.100 (1197)
1072 Oklahoma Wesleyan              8- 10   46.863   47.535 (1103)
1073 Tennessee Temple               6- 12   46.856   49.066 (767)
1074 Coastal Georgia                3- 14   46.853   50.644 (509)
1075 St Rose                        2- 13   46.840   50.383 (545)
1076 Linfield                       3- 12   46.834   50.198 (573)
1077 Cincinnati-Clermont            9- 11   46.831   47.530 (1105)
1078 Calumet-St Joseph              8- 11   46.820   47.724 (1061)
1079 Menlo                          4- 17   46.808   50.785 (487)
1080 Southern Maine                 6-  8   46.805   47.655 (1076)
1081 Pacific Union                  3- 13   46.799   50.794 (483)
1082 Westminster MO                 8-  9   46.796   47.315 (1156)
1083 Coast Guard                    6-  7   46.754   47.224 (1176)
1084 St Joseph VT                  10-  3   46.747   42.824 (1485)
1085 New Paltz St                   6-  7   46.741   47.207 (1180)
1086 Guelph                         7- 11   46.732   47.969 (1009)
1087 Arcadia                        8-  6   46.730   46.164 (1320)
1088 Friends                        8- 13   46.727   47.953 (1012)
1089 RPI                            5-  7   46.727   47.680 (1071)
1090 Colorado Christian             2- 13   46.724   51.239 (420)
1091 Neumann                        8-  8   46.721   46.682 (1253)
1092 UC-Merced                      1- 10   46.713   51.426 (407)
1093 Eastern Mennonite              6-  9   46.708   47.544 (1097)
1094 Otterbein                      5- 10   46.696   48.399 (900)
1095 Bates                          8-  6   46.690   45.981 (1335)
1096 Louisiana College              4-  9   46.690   49.062 (769)
1097 Missouri Valley                7- 11   46.677   48.072 (984)
1098 Howard Payne                   7-  9   46.671   47.606 (1086)
1099 Virginia St                    2- 14   46.668   50.799 (480)
1100 Loras                          4- 11   46.667   49.428 (696)
1101 Centennial                     9-  1   46.667   41.847 (1511)
1102 Col. Éd.-Montpetit             2-  8   46.666   50.091 (590)
1103 Elizabethtown                  5-  9   46.664   48.164 (960)
1104 Paul Quinn                     3- 12   46.654   50.773 (491)
1105 Winnipeg                       7- 14   46.647   48.626 (854)
1106 Rowan                          8-  8   46.641   46.569 (1269)
1107 Greenville                     9-  5   46.639   45.138 (1398)
1108 Kalamazoo                      6-  9   46.635   47.939 (1020)
1109 York NY                        5- 11   46.616   48.584 (863)
1110 Mt St Joseph                   6- 10   46.591   48.164 (961)
1111 Minot St                       2- 14   46.586   51.122 (437)
1112 Regina                         4- 11   46.571   49.093 (758)
1113 North Park                     5- 10   46.569   48.498 (879)
1114 John Jay                       8-  8   46.565   46.392 (1295)
1115 Fanshawe                       7-  2   46.563   42.929 (1480)
1116 Caltech                        5-  9   46.559   48.499 (877)
1117 Cal Lutheran                   4- 10   46.554   48.942 (787)
1118 Baruch                         8-  9   46.543   46.811 (1235)
1119 Molloy                         5- 11   46.541   48.616 (858)
1120 Brevard                        2- 13   46.532   50.785 (486)
1121 Laurentian                     5- 10   46.528   48.152 (965)
1122 Fitchburg St                   9-  4   46.527   44.595 (1420)
1123 Cheyney                        2- 11   46.525   50.368 (549)
1124 NC Wesleyan                    7-  8   46.518   46.794 (1241)
1125 Rust                           9- 10   46.515   46.892 (1225)
1126 Humber                         7-  3   46.514   43.627 (1456)
1127 Bethel MN                      6-  7   46.510   46.652 (1255)
1128 Concordia-Moorhead             5-  9   46.498   48.146 (966)
1129 St Mary's NS                   2-  8   46.489   49.854 (628)
1130 Jarvis Christian               4- 10   46.489   49.381 (702)
1131 Morrisville St                 7-  6   46.468   46.106 (1325)
1132 La Verne                       4- 11   46.449   49.256 (726)
1133 Ottawa KS                      7- 13   46.415   47.998 (1000)
1134 Rosemont                       8-  7   46.408   46.081 (1327)
1135 Salve Regina                   8-  5   46.408   45.164 (1396)
1136 Virginia Intermont             8- 12   46.397   47.451 (1127)
1137 Vancouver Island               7-  6   46.385   45.952 (1337)
1138 Niagara ON                     7-  2   46.355   42.952 (1478)
1139 Haverford                      5- 10   46.349   48.438 (892)
1140 Manchester                     5- 11   46.347   48.725 (836)
1141 Milw Engineering               7-  8   46.318   46.800 (1240)
1142 Morehouse                      3-  7   46.307   48.301 (919)
1143 Montreat                       8- 12   46.289   47.538 (1100)
1144 UW-Oshkosh                     4- 12   46.285   48.857 (809)
1145 Northwestern OH                5- 13   46.282   48.639 (852)
1146 Gordon                         6-  7   46.251   46.927 (1222)
1147 Emory & Henry                  6-  9   46.234   47.418 (1134)
1148 Siena Heights                  5- 14   46.213   48.693 (842)
1149 Plattsburgh St                 6-  7   46.205   46.535 (1275)
1150 Muskingum                      6- 10   46.202   47.517 (1108)
1151 New Jersey                     6-  9   46.190   47.334 (1153)
1152 Concordia AL                   4- 14   46.185   49.370 (706)
1153 Notre Dame OH                  4-  9   46.156   48.399 (901)
1154 Illinois College               3- 10   46.152   48.874 (806)
1155 LaGrange                       7- 11   46.140   47.288 (1165)
1156 St Lawrence NY                 5-  7   46.136   47.035 (1208)
1157 Blue Mountain                  7- 11   46.105   47.380 (1144)
1158 Asbury                         6- 13   46.102   48.247 (941)
1159 Holy Cross IN                  7- 12   46.075   47.943 (1018)
1160 Dallas Christian               3- 17   46.053   50.537 (521)
1161 Lawrence                       4-  8   46.036   47.996 (1001)
1162 SUNY-Purchase                  7-  7   46.033   46.222 (1312)
1163 Williams Baptist               5- 10   46.025   47.853 (1035)
1164 Heidelberg                     5- 10   46.019   47.669 (1074)
1165 Talladega                      2- 11   46.008   49.629 (669)
1166 Bethany KS                     6- 14   46.004   48.070 (985)
1167 Mid-Continent                  2- 15   45.994   50.148 (576)
1168 Texas-Tyler                    5- 10   45.994   48.054 (991)
1169 Castleton St                   7-  6   45.992   45.394 (1380)
1170 Geneseo St                     5-  8   45.990   47.232 (1174)
1171 UMass-Boston                   5- 10   45.990   48.153 (962)
1172 Claflin                        4-  9   45.971   47.884 (1027)
1173 Lehman                         8-  8   45.956   45.951 (1338)
1174 Sul Ross St                    5- 10   45.930   47.741 (1059)
1175 Mayville St                    9- 13   45.930   47.476 (1122)
1176 Central Methodist              7- 12   45.917   47.491 (1118)
1177 Camosun                        6-  2   45.884   43.316 (1472)
1178 Trinity Christian              9- 13   45.862   47.006 (1212)
1179 William Woods                  9- 12   45.852   46.417 (1291)
1180 Oglethorpe                     7-  9   45.848   46.466 (1286)
1181 Lasell                         5-  9   45.832   47.500 (1115)
1182 Monmouth IL                    4-  9   45.810   47.945 (1016)
1183 OK Panhandle St                2- 12   45.799   49.991 (607)
1184 Roger Williams                 7-  6   45.791   45.380 (1381)
1185 Ohio Christian                 3-  6   45.790   47.115 (1193)
1186 Judson IL                      6- 16   45.786   48.140 (967)
1187 Wentworth Tech                 7-  5   45.779   44.832 (1410)
1188 Pacifica                       1- 13   45.772   51.153 (435)
1189 Lindenwood-Belleville          6-  9   45.749   47.090 (1201)
1190 Roosevelt                      6- 10   45.744   47.375 (1146)
1191 Oberlin                        6-  9   45.736   46.689 (1251)
1192 Concordia IL                   3- 10   45.731   48.987 (781)
1193 Point                          4- 15   45.723   48.919 (792)
1194 Algonquin                      8-  2   45.711   41.942 (1508)
1195 Marygrove                      7- 13   45.703   47.532 (1104)
1196 Robt Morris-Springfield        3-  7   45.674   48.276 (928)
1197 Connecticut College            5- 10   45.670   47.674 (1072)
1198 Methodist                      3- 13   45.668   49.410 (699)
1199 Knox                           3- 11   45.664   48.671 (849)
1200 Johnson & Wales CO             4- 18   45.663   49.216 (735)
1201 Pensacola Christian            6-  5   45.645   45.171 (1395)
1202 Penn St-Beaver                 4-  3   45.633   44.932 (1406)
1203 Willamette                     2- 14   45.630   49.826 (638)
1204 Marymount                      4- 11   45.592   48.057 (990)
1205 Penn St-Erie                   7-  9   45.587   46.027 (1330)
1206 Florida College                3-  6   45.587   47.409 (1136)
1207 U Sciences Phila               1- 11   45.572   50.142 (580)
1208 UNBC                           7-  5   45.563   44.451 (1427)
1209 Grove City                     7-  8   45.546   45.891 (1341)
1210 Union NE                       3-  1   45.533   42.675 (1492)
1211 Arizona Christian              3- 13   45.525   49.254 (727)
1212 Bluefield St WV                1- 12   45.519   50.472 (526)
1213 UNB                            2-  5   45.514   48.532 (874)
1214 Merchant Marine                6- 10   45.512   46.619 (1259)
1215 Marywood                       6- 10   45.509   47.102 (1196)
1216 Ursinus                        5- 10   45.497   47.219 (1179)
1217 Vermont Tech                   8-  2   45.492   39.805 (1528)
1218 Brescia                        8- 13   45.442   46.812 (1234)
1219 Wash & Jeff                    6- 10   45.423   46.961 (1219)
1220 Mississippi College            3- 11   45.419   48.438 (890)
1221 Wilberforce                    5- 14   45.419   48.104 (981)
1222 Mohawk                         7-  4   45.408   43.797 (1451)
1223 Hillsdale Free Will            5-  8   45.408   46.884 (1226)
1224 Sheridan                       6-  3   45.384   43.060 (1477)
1225 Waterloo                       5- 11   45.373   47.539 (1099)
1226 Johnson & Wales RI             5-  9   45.366   47.223 (1177)
1227 Milligan                       5- 15   45.357   48.459 (885)
1228 Algoma                         6-  5   45.351   44.165 (1438)
1229 Roberts Wesleyan               4- 13   45.328   48.255 (937)
1230 Minn-Morris                    4-  8   45.321   47.330 (1154)
1231 Fisk                           4- 12   45.319   48.212 (945)
1232 Centenary NJ                   6-  9   45.272   46.355 (1301)
1233 Western ON                     4- 11   45.237   47.859 (1033)
1234 U of the Ozarks                4- 11   45.237   47.542 (1098)
1235 Curry                          4-  8   45.228   47.183 (1185)
1236 St Joseph's-Brooklyn           8-  8   45.215   45.096 (1401)
1237 Morris SC                      2-  9   45.215   49.070 (765)
1238 Kuyper                         8-  9   45.205   45.683 (1356)
1239 Roanoke                        4- 11   45.198   47.822 (1043)
1240 New Hope Christian             3- 16   45.187   49.375 (704)
1241 UPR-Rio Piedras                0-  5   45.168   50.563 (518)
1242 Culver-Stockton                4- 14   45.162   48.605 (861)
1243 Capilano                       5-  5   45.152   45.189 (1394)
1244 Millsaps                       6-  9   45.150   46.405 (1294)
1245 IU Kokomo                      1-  4   45.136   49.802 (644)
1246 Simpson CA                     1- 18   45.135   50.376 (546)
1247 Bridgewater VA                 4- 12   45.124   47.820 (1044)
1248 Worcester St                   5-  8   45.113   46.543 (1274)
1249 Ohio St-Newark                 0-  4   45.079   50.835 (475)
1250 UPR-Mayagüez                   0-  5   45.071   50.563 (519)
1251 Alma                           4- 11   45.068   47.716 (1063)
1252 Framingham St                  6-  9   45.057   46.090 (1326)
1253 Keyano                         8-  6   45.054   44.015 (1447)
1254 Emmanuel MA                    4-  9   44.977   47.029 (1209)
1255 Benedictine IL                 4- 11   44.973   47.653 (1077)
1256 Averett                        6- 10   44.968   46.408 (1293)
1257 UBC-Okanagan                   4- 13   44.957   47.881 (1028)
1258 Evergreen St                   1- 19   44.935   50.199 (572)
1259 Mt St Vincent NY               4- 10   44.930   47.095 (1200)
1260 Hilbert                        8-  7   44.925   44.474 (1426)
1261 Marian WI                      4- 11   44.922   47.605 (1088)
1262 RIT                            5-  8   44.922   46.067 (1328)
1263 Finlandia                      7- 13   44.910   46.558 (1272)
1264 Miami-Hamilton                 1-  8   44.898   49.692 (658)
1265 SUNY-Canton                    5-  3   44.891   43.411 (1465)
1266 Bethany Lutheran               5-  9   44.838   46.328 (1304)
1267 Concordia AB                   6-  8   44.818   45.585 (1364)
1268 Douglas                        5-  3   44.806   43.450 (1464)
1269 Dominican IL                   3- 11   44.796   48.258 (936)
1270 Union KY                       4- 19   44.795   48.616 (857)
1271 Penn St-Abington               6- 10   44.780   46.247 (1310)
1272 Immaculata                     5- 10   44.779   46.575 (1266)
1273 Colby-Sawyer                   8-  6   44.769   43.706 (1455)
1274 Massachusetts Coll             4- 11   44.765   47.343 (1151)
1275 Huntingdon AL                  4- 10   44.762   47.074 (1204)
1276 Sage                           6-  7   44.752   45.232 (1392)
1277 Sewanee                        8-  6   44.717   43.311 (1473)
1278 Eastern Maine CC               9-  1   44.691   38.840 (1534)
1279 Wells                          5- 10   44.690   46.436 (1289)
1280 VA-Lynchburg                   2- 10   44.684   48.202 (948)
1281 UPR-Bayamón                    0-  5   44.677   50.887 (468)
1282 Stevenson                      4- 11   44.656   47.133 (1190)
1283 Drew                           3- 13   44.647   48.001 (999)
1284 Allegheny                      2- 13   44.646   48.616 (859)
1285 Shepherd Film                  1-  7   44.635   49.470 (687)
1286 Central Maine CC               9-  3   44.612   41.080 (1520)
1287 Florida Christian              3-  6   44.597   46.808 (1237)
1288 St Scholastica                 5-  9   44.596   46.372 (1296)
1289 Anna Maria                     5-  7   44.565   45.485 (1372)
1290 Medicine Hat                   7-  6   44.563   44.085 (1445)
1291 Lane                           1- 10   44.560   49.371 (705)
1292 George Brown                   7-  4   44.544   42.686 (1491)
1293 Regis MA                       5-  8   44.539   45.913 (1340)
1294 Olivet                         3- 12   44.533   48.067 (988)
1295 Purdue Calumet                 4- 15   44.503   47.510 (1113)
1296 Potsdam St                     4-  9   44.488   46.665 (1254)
1297 Trinity Int'l                  3- 16   44.487   48.803 (818)
1298 Holland                        6-  3   44.483   42.769 (1489)
1299 McDaniel                       4- 10   44.468   46.697 (1250)
1300 Utica                          4- 10   44.432   46.571 (1267)
1301 Houghton                       7-  8   44.357   44.724 (1415)
1302 Maine-Farmington               7-  5   44.346   43.573 (1460)
1303 Northern New Mexico            0- 22   44.346   50.605 (515)
1304 Walla Walla                    3- 19   44.341   49.653 (667)
1305 Warren Wilson                  5-  7   44.338   45.433 (1379)
1306 Memorial                       1-  8   44.331   48.402 (898)
1307 Vassar                         5-  7   44.316   44.391 (1433)
1308 York ON                        3- 12   44.313   47.877 (1029)
1309 Berea                          7- 13   44.310   46.198 (1315)
1310 LeTourneau                     3- 13   44.252   47.988 (1006)
1311 Huston-Tillotson               0- 15   44.210   50.420 (534)
1312 Hiwassee                       4- 11   44.180   47.515 (1109)
1313 Mercy                          1- 13   44.160   49.353 (709)
1314 Wheelock                       5-  8   44.137   45.517 (1371)
1315 Gallaudet                      7-  8   44.137   44.503 (1425)
1316 Maine-Fort Kent                5-  6   44.130   44.551 (1423)
1317 Fontbonne                      3- 13   44.085   47.629 (1083)
1318 Nichols                        5-  8   44.084   45.310 (1387)
1319 Thomas ME                      8-  5   44.082   42.926 (1481)
1320 Rhema Bible                    2-  6   44.077   47.636 (1081)
1321 Ohio Mid-Western               2- 11   44.067   48.713 (840)
1322 Cincinnati Christian U.        4- 11   44.051   46.584 (1263)
1323 Central Penn                   4-  9   44.051   46.356 (1299)
1324 Suffolk                        5-  9   44.044   45.661 (1360)
1325 Barber-Scotia                  2- 15   44.040   48.878 (804)
1326 Southwestern TX                1- 15   44.028   49.453 (691)
1327 Central Baptist                4- 15   44.014   47.839 (1038)
1328 Bacone                         2- 14   44.005   48.571 (865)
1329 Limoilou                       0-  9   44.001   50.412 (537)
1330 Red Deer                       6-  5   43.994   43.606 (1457)
1331 Champion Baptist               2-  9   43.992   48.136 (968)
1332 Kean                           3- 14   43.990   47.514 (1111)
1333 North Central MN               6-  9   43.990   45.297 (1388)
1334 D'Youville                     6- 10   43.928   45.324 (1384)
1335 Allen                          3- 14   43.891   47.905 (1024)
1336 St Thomas NB                   9-  5   43.890   41.928 (1509)
1337 Pitt-Bradford                  6-  8   43.888   44.825 (1411)
1338 Presentation                   4-  8   43.880   46.472 (1284)
1339 Lesley                         5-  7   43.865   45.069 (1402)
1340 Wisconsin Lutheran             2- 12   43.844   48.068 (986)
1341 Mount Aloysius                 5- 10   43.842   45.526 (1369)
1342 Multnomah U.                   4- 13   43.826   47.105 (1195)
1343 Dillard                        0- 18   43.826   50.306 (561)
1344 Langara                        4-  4   43.811   43.575 (1459)
1345 Cornell IA                     2- 13   43.802   47.806 (1049)
1346 Ecclesia                       2- 12   43.789   48.204 (947)
1347 Ozark Christian                3-  7   43.788   46.848 (1232)
1348 Geneva                         4- 11   43.772   46.529 (1276)
1349 Goucher                        2- 12   43.771   47.681 (1070)
1350 St Mary's MN                   2- 11   43.760   47.536 (1101)
1351 Clearwater Christian           3-  8   43.752   46.546 (1273)
1352 Hendrix                        3- 13   43.738   47.413 (1135)
1353 Blackburn                      5- 10   43.666   45.473 (1373)
1354 Dallas                         4- 12   43.657   46.357 (1298)
1355 Keuka                          4-  9   43.633   45.824 (1346)
1356 AIB Coll Bus                   2- 17   43.626   48.424 (895)
1357 Lock Haven                     0- 13   43.578   49.665 (664)
1358 Penn St-Berks                  2-  9   43.574   47.179 (1186)
1359 Selma U.                       0-  6   43.550   49.160 (742)
1360 Central Bible                  2- 15   43.527   48.922 (791)
1361 Grace NE                       2-  9   43.523   47.068 (1205)
1362 Cincinnati Chr Coll            1-  7   43.496   48.435 (893)
1363 Kansas Wesleyan                2- 17   43.451   48.216 (944)
1364 St Lawrence ON                 6-  4   43.416   42.172 (1503)
1365 Mitchell                       5-  6   43.401   44.157 (1440)
1366 Colby                          4- 10   43.399   45.690 (1355)
1367 Northland Int'l                4-  8   43.391   45.888 (1343)
1368 Delaware Valley                2- 11   43.371   47.191 (1182)
1369 Penn St-DuBois                 4-  4   43.367   43.410 (1466)
1370 Western New England            4-  8   43.334   45.466 (1375)
1371 St Cloud Tech                  2-  0   43.313   38.019 (1536)
1372 Arlington Baptist              1-  6   43.312   48.768 (825)
1373 Husson                         6-  9   43.288   44.451 (1428)
1374 Fisher                         6- 16   43.277   45.865 (1345)
1375 Southern St OH                 3-  3   43.276   43.158 (1476)
1376 Millikin                       1- 14   43.258   48.860 (808)
1377 Newbury                        4-  9   43.253   45.727 (1350)
1378 Michigan-Dearborn              1- 19   43.234   49.076 (762)
1379 Purdue North Central           3- 19   43.227   47.699 (1067)
1380 Shenandoah                     3- 14   43.212   46.974 (1217)
1381 Westminster PA                 2- 14   43.111   47.294 (1162)
1382 Peru St                        1- 19   43.060   48.387 (906)
1383 Berkeley-NYC                   4-  6   43.048   43.924 (1448)
1384 Toccoa Falls                   3-  2   43.012   42.206 (1502)
1385 Oneonta St                     1- 13   43.006   47.835 (1040)
1386 Portland Bible                 1- 15   42.971   48.730 (833)
1387 Davis College                  3-  4   42.890   43.765 (1453)
1388 New Hampshire Tech             5-  2   42.882   40.396 (1526)
1389 Ohio U-Eastern                 1-  3   42.879   46.570 (1268)
1390 Piedmont GA                    3- 13   42.860   46.354 (1302)
1391 Waynesburg                     3- 13   42.820   46.410 (1292)
1392 Macalester                     1- 12   42.820   47.944 (1017)
1393 Earlham                        0- 16   42.806   48.872 (807)
1394 Manhattan Christian            4-  9   42.772   45.604 (1363)
1395 Akron-Wayne                    1-  5   42.750   46.518 (1277)
1396 Penn St-Hazleton               2-  4   42.705   44.431 (1432)
1397 Mount Ida                      4-  9   42.700   45.008 (1404)
1398 Penn St-York                   2-  2   42.698   42.741 (1490)
1399 Kentucky Christian             4- 11   42.677   45.521 (1370)
1400 Great Lakes Christian          5- 10   42.667   44.701 (1417)
1401 Crown MN                       2- 11   42.630   47.006 (1211)
1402 Covenant                       4- 13   42.620   45.877 (1344)
1403 Lancaster Bible                2- 10   42.607   46.615 (1261)
1404 Faith Baptist Bible            3-  8   42.603   45.464 (1376)
1405 Logan Chiropractic             0-  5   42.599   48.960 (785)
1406 St Louis Pharmacy              5-  6   42.548   43.342 (1471)
1407 SAIT                           6-  6   42.534   42.787 (1488)
1408 Georgian                       5-  6   42.516   42.870 (1483)
1409 Rutgers-Camden                 2- 12   42.488   46.975 (1216)
1410 Emerson                        1- 12   42.470   47.766 (1056)
1411 Maryland Bible                 1-  4   42.469   45.548 (1368)
1412 SUNYIT                         1- 13   42.461   47.058 (1206)
1413 Penn St-Wilkes-Barre           3-  7   42.452   45.347 (1383)
1414 Nyack                          0- 17   42.449   48.400 (899)
1415 Northland College              2- 11   42.436   46.469 (1285)
1416 Rivier                         3-  9   42.411   45.313 (1386)
1417 Bard                           3-  8   42.391   45.242 (1391)
1418 Norwich                        3-  9   42.377   45.555 (1366)
1419 Durham                         5-  5   42.351   42.278 (1501)
1420 Swarthmore                     1- 14   42.338   47.780 (1054)
1421 Fleming                        5-  7   42.311   43.394 (1468)
1422 Maine-Machias                  4-  6   42.307   43.924 (1449)
1423 Baptist Bible MO               2- 14   42.285   47.438 (1130)
1424 Trinity FL                     1- 12   42.269   48.285 (927)
1425 Penn St-Worth Scranton         2-  1   42.262   39.094 (1532)
1426 Pitt-Greensburg                4- 12   42.261   45.104 (1400)
1427 American Sports U.             0- 11   42.161   48.850 (810)
1428 Phila Biblical                 3- 11   42.110   45.782 (1349)
1429 SUNY-Maritime                  2- 12   42.035   46.295 (1307)
1430 Daniel Webster                 3-  9   42.003   44.624 (1418)
1431 Cazenovia                      2- 10   41.989   45.714 (1353)
1432 Yeshiva                        2- 12   41.983   46.173 (1317)
1433 Eastern Nazarene               3- 10   41.955   44.709 (1416)
1434 Maranatha Baptist              2-  7   41.947   44.856 (1409)
1435 Kwantlen                       3-  7   41.926   44.434 (1431)
1436 Bethel KS                      1- 18   41.902   47.511 (1112)
1437 Ohio St-Mansfield              0- 10   41.886   49.283 (720)
1438 Silver Lake                    1- 10   41.851   47.056 (1207)
1439 Concordia-St Louis             0-  6   41.788   48.298 (923)
1440 Mount Allison                  5-  4   41.779   40.994 (1523)
1441 Berkeley-Garret Mtn            3-  8   41.715   44.311 (1435)
1442 Queen's ON                     0- 13   41.678   48.044 (993)
1443 Winnipeg Coll                  5-  1   41.633   37.690 (1537)
1444 IU Northwest                   1- 19   41.593   47.233 (1173)
1445 Principia                      0- 14   41.570   47.953 (1013)
1446 Pitt-Titusville                2-  3   41.540   42.861 (1484)
1447 CCNY                           1- 14   41.513   46.740 (1244)
1448 Ohio St-Lima                   1- 10   41.444   47.409 (1138)
1449 Ohio U-Chillicothe             0-  6   41.440   47.887 (1026)
1450 Penn St-Fayette                2-  7   41.440   45.009 (1403)
1451 SUNY-Cobleskill                1- 13   41.388   46.947 (1220)
1452 Appalachian Bible              1-  0   41.363   36.457 (1540)
1453 Cooper Union                   0-  1   41.321   46.727 (1246)
1454 Johnson & Wales NC             0- 19   41.303   48.115 (977)
1455 Loyalist                       4-  6   41.301   42.383 (1499)
1456 Augustana AB                   5- 11   41.270   44.313 (1434)
1457 Penn St-Schuylkill             2-  5   41.264   44.211 (1436)
1458 Lincoln Christian              2- 10   41.238   45.363 (1382)
1459 Seneca                         4-  6   41.232   42.390 (1498)
1460 Penn Tech                      1-  9   41.186   46.808 (1238)
1461 Nebraska Christian             1-  3   41.171   45.724 (1351)
1462 U of King's Coll               4-  5   41.069   41.030 (1521)
1463 Redeemer                       3-  8   41.060   44.107 (1442)
1464 Trinity Bible                  4-  8   41.032   43.597 (1458)
1465 Baptist Bible PA               1- 13   41.013   46.205 (1314)
1466 Penn St-Mont Alto              3-  7   41.003   43.202 (1474)
1467 Grant MacEwan                  3-  9   40.805   43.504 (1463)
1468 Elmira                         0- 14   40.805   47.253 (1170)
1469 Southern Vermont               1- 12   40.800   45.970 (1336)
1470 SW Adventist                   0-  5   40.775   48.127 (973)
1471 Maine-Presque Isle             3-  9   40.744   43.908 (1450)
1472 Crandall                       5-  5   40.735   40.500 (1525)
1473 Ctr Chr Col Bible MO           2- 11   40.668   45.315 (1385)
1474 Crowley's Ridge                0- 13   40.569   47.561 (1095)
1475 Lethbridge CC                  3-  9   40.533   43.555 (1462)
1476 King's Univ Coll               3- 11   40.521   44.765 (1414)
1477 Berry                          0- 15   40.521   47.420 (1133)
1478 Penn St-New Kensington         3-  5   40.517   41.696 (1514)
1479 Mid-Atlantic Chr               2-  5   40.516   43.363 (1469)
1480 Penn St-Brandywine             3-  7   40.495   42.602 (1494)
1481 Green Mountain                 3-  8   40.477   43.741 (1454)
1482 U of New England               0- 12   40.427   46.356 (1300)
1483 Southern Maine CC              4-  7   40.415   41.620 (1515)
1484 Johnson St                     3- 11   40.215   43.768 (1452)
1485 Briercrest                     3- 15   40.193   44.578 (1422)
1486 Penn St-Altoona                1- 14   40.137   45.200 (1393)
1487 Vaughn                         0-  9   40.090   47.779 (1055)
1488 Martin Luther                  0- 12   40.050   46.253 (1309)
1489 Barclay                        0-  6   39.930   46.296 (1306)
1490 Lambton                        2-  8   39.909   44.197 (1437)
1491 Calvary Bible                  1-  1   39.847   39.566 (1530)
1492 New England Coll               3- 10   39.841   42.823 (1486)
1493 Lyndon St                      1- 14   39.769   45.993 (1334)
1494 Crown TN                       3-  6   39.719   41.607 (1516)
1495 RMC                            0- 12   39.636   47.807 (1048)
1496 Ohio U-Lancaster               0-  4   39.623   46.022 (1332)
1497 Columbia Bible                 1-  7   39.617   44.099 (1443)
1498 Paul Smith's                   3-  8   39.556   42.133 (1505)
1499 Canadian Mennonite             5-  3   39.537   38.217 (1535)
1500 Crossroads MN                  0-  6   39.529   46.156 (1321)
1501 Loan Chiropractic              0-  1   39.294   44.085 (1444)
1502 Polytechnic                    0- 12   39.274   46.172 (1318)
1503 Quest                          0- 13   39.266   46.364 (1297)
1504 Free Will Baptist              2-  7   39.246   42.413 (1497)
1505 Grande Prairie                 3-  9   39.114   42.025 (1506)
1506 Boyce                          1-  8   39.025   43.567 (1461)
1507 Maine-Augusta                  5- 11   38.932   41.144 (1519)
1508 St Clair                       1- 11   38.893   44.803 (1412)
1509 St Louis Christian             0- 11   38.871   45.950 (1339)
1510 Albany Pharmacy                1-  5   38.858   42.793 (1487)
1511 Knoxville                      0-  4   38.803   44.624 (1419)
