Rnk Team                           W-  L     RATE      SOS
423 Emporia St                     8-  7   52.264   51.989 (376)
424 North Carolina A&T             7- 12   52.256   53.684 (288)
425 WV Wesleyan                    7-  5   52.245   50.965 (460)
426 Idaho St                       5- 13   52.193   54.782 (184)
427 South Dakota                   6- 11   52.157   53.715 (284)
428 St Thomas MN                  10-  3   52.138   49.134 (748)
429 Transylvania                  14-  4   52.119   49.161 (741)
430 Saginaw Valley St              7-  7   52.111   52.189 (366)
431 Mountain St                   12-  6   52.107   50.030 (602)
432 Hampton                        7- 11   52.086   53.261 (322)
433 Houston Baptist                6- 11   52.081   53.591 (296)
434 Westminster UT                13-  7   52.062   50.031 (601)
435 Nebraska-Kearney               9-  5   52.055   50.660 (507)
436 Ferris St                      9-  7   52.036   51.464 (403)
437 Bellevue                      15-  4   52.024   48.538 (872)
438 UMass-Lowell                  10-  5   52.023   50.401 (540)
439 CSU-Northridge                 5- 10   52.021   53.868 (273)
440 Amherst                       13-  1   51.986   47.086 (1203)
441 Queens NC                     10-  5   51.979   50.319 (557)
442 Southern Nazarene             13-  5   51.973   49.072 (763)
443 Northwestern IA               15-  4   51.971   48.992 (780)
444 Stonehill                     10-  5   51.967   50.143 (579)
445 Alabama St                     7- 10   51.963   53.385 (313)
446 TAMU-Int'l                    11-  5   51.958   49.755 (651)
447 CSU-San Marcos                12- 10   51.949   51.434 (406)
448 Dallas Baptist                12-  6   51.946   49.848 (630)
449 Whitman                       13-  4   51.939   48.972 (783)
450 Freed-Hardeman                11-  7   51.934   50.794 (482)
451 Montana-Western               16-  5   51.929   49.138 (746)
452 Texas Wesleyan                13-  4   51.917   49.030 (773)
453 Lander                         9-  4   51.910   49.808 (643)
454 Johnson C. Smith               7-  6   51.909   51.283 (415)
455 Army                           8- 10   51.903   52.371 (355)
456 Grand Valley St                9-  6   51.902   50.627 (513)
457 Central St OH                 11-  5   51.901   49.793 (647)
458 Laurier                       13-  3   51.900   48.038 (994)
459 St Thomas FL                  10-  6   51.894   50.766 (492)
460 UNC-Pembroke                  11-  5   51.880   49.798 (645)
461 Incarnate Word                 8-  7   51.853   51.174 (431)
462 St Joseph's IN                 6-  8   51.852   52.635 (343)
463 Florida Southern               9-  5   51.847   50.338 (552)
464 Franklin & Marshall           14-  1   51.833   46.436 (1290)
465 Science & Arts OK             10-  7   51.830   51.045 (447)
466 Bethune-Cookman                6- 12   51.818   53.966 (259)
467 Southern U.                    8- 10   51.817   52.522 (348)
468 Oklahoma City                  9-  6   51.808   50.473 (525)
469 Wooster                       11-  4   51.800   49.087 (759)
470 Emory                         13-  2   51.798   47.370 (1147)
471 New Hampshire                  6-  9   51.781   52.716 (340)
472 Seattle U.                     4- 12   51.776   54.391 (225)
473 Eastern New Mexico            10-  8   51.750   51.232 (421)
474 Cabrini                       14-  1   51.746   46.773 (1242)
475 SW Baptist                    10-  8   51.743   50.775 (489)
476 William Paterson              13-  2   51.740   47.835 (1039)
477 UW-River Falls                12-  4   51.738   48.892 (798)
478 TAMU-Kingsville                8-  8   51.728   51.581 (398)
479 Saskatchewan                  14-  5   51.727   49.284 (718)
480 Lake Erie                      7-  7   51.715   51.729 (389)
481 West Virginia Tech            12-  6   51.708   49.761 (650)
482 Lakehead                      14-  2   51.707   47.151 (1188)
483 Colgate                        5- 12   51.701   54.384 (226)
484 Jacksonville St                6- 14   51.683   53.925 (264)
485 Ohio Wesleyan                 12-  3   51.675   48.441 (889)
486 Georgia Coll & St              8-  6   51.671   50.866 (471)
487 Montana St-Billings           11-  7   51.670   50.384 (544)
488 Campbellsville                14-  5   51.653   49.007 (777)
489 New Jersey Tech                7-  9   51.639   51.950 (378)
490 Florida Tech                  11-  3   51.634   48.275 (929)
491 Prairie View A&M               6- 11   51.630   53.428 (311)
492 Arkansas-Fort Smith           10-  7   51.596   50.324 (555)
493 New Haven                     11-  4   51.576   48.881 (802)
494 Goshen                        14-  6   51.561   49.450 (693)
495 Ashland                        9-  6   51.552   50.485 (524)
496 Samford                        4- 12   51.525   54.327 (230)
497 Nova Southeastern              7-  6   51.520   51.078 (442)
498 Fresno Pacific                11-  8   51.509   50.717 (496)
499 Montana Tech                  10-  6   51.507   50.184 (574)
500 UC-San Diego                   6-  9   51.501   52.423 (353)
501 Western Conn St               13-  2   51.501   47.515 (1110)
502 St Peter's                     4- 14   51.468   54.608 (201)
503 Xavier NO                     12-  7   51.467   50.090 (591)
504 St Francis PA                  5- 13   51.463   53.959 (261)
505 Ahuntsic                       5-  3   51.457   49.948 (616)
506 Colorado Mesa                  8-  7   51.450   50.809 (478)
507 Martin Methodist              13-  3   51.439   48.035 (996)
508 Northern Arizona               5- 13   51.430   53.873 (269)
509 Texas-Pan American             5- 15   51.427   54.474 (213)
510 MD-Eastern Shore               4- 12   51.426   54.573 (204)
