Rnk Team                           W-  L     RATE      SOS
135 Morehead St                   13-  7   56.432   54.637 (225)
136 Miami OH                       8- 10   56.398   57.220 ( 14)
137 TCU                           10-  9   56.356   56.120 ( 82)
138 East Tennessee St             13-  7   56.353   54.560 (232)
139 Ohio U.                        9-  9   56.324   56.287 ( 72)
140 Mississippi St                10-  7   56.320   55.453 (154)
141 Southern Indiana              15-  1   56.292   51.100 (472)
142 New Mexico St                 11-  9   56.270   55.561 (139)
143 Loyola-Chicago                12-  8   56.250   55.029 (196)
144 IUPUI                         13-  9   56.242   55.074 (191)
145 Idaho                         12-  6   56.218   54.555 (234)
146 UW-Green Bay                  11-  9   56.212   55.598 (133)
147 Iowa                           7- 10   56.202   56.850 ( 32)
148 UNC-Wilmington                 9-  8   56.201   56.031 ( 91)
149 Austin Peay                   14-  7   56.163   53.802 (296)
150 Air Force                     10-  6   56.135   54.746 (214)
151 Boise St                      12-  7   56.120   54.337 (255)
152 Fort Lewis                    14-  2   56.110   51.940 (397)
153 Fort Hays St                  15-  2   56.071   51.482 (435)
154 Southern Illinois              9-  9   56.008   56.102 ( 86)
155 Evansville                     9-  8   56.001   55.529 (141)
156 Oregon                         8- 10   55.969   56.368 ( 65)
157 Robert Morris PA               8-  9   55.957   56.292 ( 71)
158 UW-Milwaukee                  11- 10   55.956   55.680 (127)
159 Pacific CA                    10-  8   55.936   55.223 (181)
160 Utah                           8- 10   55.920   56.498 ( 54)
161 La Salle                       8- 10   55.894   56.431 ( 60)
162 LSU                           10-  8   55.891   55.155 (183)
163 Charlotte                      9-  8   55.872   55.569 (138)
164 Central Washington            13-  2   55.857   51.271 (452)
165 Detroit Mercy                 10-  9   55.840   55.525 (143)
166 Sam Houston St                 9-  7   55.840   55.116 (186)
167 Northern Colorado              9-  7   55.831   54.823 (208)
168 Buffalo                        9-  6   55.824   54.395 (251)
169 George Washington             10-  7   55.819   54.990 (202)
170 Texas Tech                     8- 10   55.771   56.324 ( 69)
171 Minn St-Mankato               13-  2   55.766   51.318 (448)
172 Houston                       10-  6   55.759   54.466 (244)
173 IPFW                          11-  6   55.752   54.041 (283)
174 Hillsdale                     14-  1   55.734   50.506 (540)
175 Davidson                       8-  9   55.722   55.834 (105)
176 Delaware                       8-  8   55.722   55.795 (116)
177 McNeese St                    11-  5   55.715   53.631 (310)
178 St Thomas MN                  13-  1   55.707   50.838 (499)
179 St Louis U.                    6- 11   55.684   57.105 ( 22)
180 Metropolitan St               13-  2   55.648   51.466 (437)
181 Oregon St                      9-  9   55.642   55.480 (151)
182 Winona St                     14-  3   55.604   51.991 (392)
183 Wofford                        8-  9   55.582   55.822 (107)
184 Augusta St                    14-  1   55.576   50.640 (520)
185 Liberty                       13-  7   55.573   53.841 (294)
186 Lipscomb                      10-  7   55.554   54.681 (221)
187 Western Michigan              10-  7   55.526   54.421 (248)
188 St Peter's                     9-  8   55.525   55.479 (152)
189 Boston U.                      8- 10   55.512   56.111 ( 84)
190 Columbia NY                   10-  5   55.502   53.846 (293)
191 Oklahoma                       8-  9   55.501   55.817 (110)
192 Central Connecticut St        10-  7   55.500   54.522 (237)
193 Tampa                         16-  0   55.495   49.608 (667)
194 Concordia CA                  16-  2   55.488   50.750 (511)
195 Morgan St                      8-  7   55.481   55.313 (169)
196 Midwestern St                 12-  3   55.479   51.684 (417)
197 Stephen F. Austin             11-  4   55.459   52.175 (381)
198 West Texas A&M                13-  2   55.452   51.051 (477)
199 Findlay                       14-  1   55.416   50.327 (562)
200 Yale                           8-  7   55.409   55.042 (194)
201 South Dakota St               17-  6   55.394   52.261 (374)
202 East Carolina                  9-  7   55.358   54.270 (261)
203 Arkansas-Little Rock          11-  8   55.353   54.312 (257)
204 Northern Kentucky             13-  5   55.340   52.376 (364)
205 Azusa Pacific                 16-  2   55.339   50.791 (505)
206 Weber St                       9-  7   55.330   54.587 (229)
207 Hawai`i                       10-  8   55.318   54.752 (213)
208 Wagner                         8-  9   55.309   55.774 (117)
209 Alabama-Huntsville            15-  2   55.290   50.898 (489)
210 Maine                         16-  7   55.280   52.596 (354)
211 CSU-San Bernardino             9-  4   55.260   53.034 (333)
212 Western Kentucky               7- 11   55.249   56.344 ( 67)
213 San Francisco                  9- 10   55.248   55.525 (142)
214 Santa Clara                   11-  9   55.227   54.430 (247)
215 Tulane                        13-  5   55.221   52.536 (356)
216 Fresno St                      7-  8   55.218   55.607 (132)
217 DePaul                         6- 11   55.218   56.793 ( 39)
218 Georgia St                     8-  8   55.216   55.109 (189)
219 LSU-Shreveport                16-  0   55.206   49.354 (714)
220 Humboldt St                   13-  1   55.205   50.291 (569)
221 Georgetown KY                 17-  3   55.204   51.045 (478)
222 Wayne St MI                   11-  3   55.194   51.939 (398)
223 Grand Valley St               13-  3   55.183   51.008 (479)
224 Campbell                       9-  7   55.180   54.574 (230)
225 Rice                           8- 10   55.045   55.517 (144)
226 Fairmont St                   10-  2   55.043   50.841 (498)
227 Lehigh                        10-  8   55.027   54.457 (246)
228 Northern Arizona              11-  7   54.972   53.197 (328)
229 Denver                         9-  9   54.968   55.116 (187)
230 Chattanooga                   11-  8   54.923   53.966 (286)
231 Siena                          6- 10   54.914   56.170 ( 80)
232 Whitworth                     15-  0   54.913   48.891 (813)
233 Kentucky Wesleyan             12-  2   54.888   50.919 (488)
234 Illinois St                    8- 10   54.886   55.468 (153)
235 Colorado Mines                12-  3   54.880   51.528 (432)
236 Montana St                    11-  7   54.870   53.685 (308)
237 Augustana IL                  15-  0   54.864   49.260 (739)
238 Mary                          12-  4   54.808   52.032 (388)
239 Pennsylvania                   5-  7   54.806   55.943 ( 96)
240 Wake Forest                    8- 11   54.795   55.557 (140)
241 Loyola-Maryland                7-  9   54.751   55.327 (165)
242 Presbyterian                   8- 11   54.743   55.810 (114)
243 Oral Roberts                   8- 12   54.740   55.746 (119)
244 St Joseph's PA                 5- 12   54.711   56.856 ( 31)
245 TAMU-Commerce                 11-  4   54.696   52.093 (383)
246 CSU-Los Angeles               10-  4   54.690   52.468 (360)
247 Winthrop                       7- 10   54.664   55.668 (129)
248 Nicholls St                    8-  7   54.631   53.942 (289)
249 Drake                          7- 11   54.622   55.906 ( 99)
250 Charleston Southern           11-  8   54.617   53.243 (325)
251 Arkansas St                    9- 10   54.611   54.477 (241)
252 San José St                    9-  8   54.610   54.292 (258)
253 American Int'l                12-  3   54.608   51.339 (446)
254 Middle Tennessee St            8- 11   54.569   55.276 (173)
255 North Florida                  7- 12   54.564   56.178 ( 78)
256 Canisius                       9-  8   54.553   54.258 (262)
257 Samford                       11-  7   54.514   53.440 (318)
258 Chaminade                     10-  5   54.495   52.769 (345)
259 Adams St                      11-  3   54.466   51.305 (451)
260 Mesa St                       11-  4   54.444   51.971 (393)
261 UNC-Asheville                  9-  8   54.439   53.929 (290)
262 Fordham                        6-  9   54.428   55.589 (135)
263 Biola                         16-  2   54.411   49.327 (724)
264 St Catharine                  14-  5   54.367   51.731 (413)
265 New Mexico Highlands          13-  4   54.341   51.316 (449)
266 Alaska-Anchorage              12-  4   54.337   51.179 (462)
267 Northeastern                   4- 13   54.329   57.132 ( 19)
268 Wyoming                        8- 10   54.328   54.662 (223)
269 North Dakota St               10-  8   54.324   53.471 (317)
270 St Anselm                     11-  3   54.297   51.401 (442)
271 Lincoln Memorial              14-  1   54.275   48.948 (797)
272 Jackson St                     8-  9   54.272   54.589 (227)
273 Northwood FL                  16-  3   54.270   50.016 (602)
274 VMI                           11-  7   54.264   52.983 (337)
275 Bradley                        6- 12   54.234   56.061 ( 89)
276 CSU-Bakersfield                8-  9   54.232   54.703 (218)
277 Bentley                       11-  4   54.209   51.620 (423)
278 Tarleton St                   10-  3   54.199   49.823 (626)
279 Western Carolina               8- 10   54.195   54.570 (231)
280 Nevada                         5- 13   54.194   56.444 ( 57)
281 Texas Southern                 6-  9   54.188   55.432 (157)
282 Wooster                       16-  1   54.158   48.865 (820)
283 Youngstown St                  7- 10   54.143   55.015 (197)
284 UMKC                          11-  8   54.138   53.426 (319)
285 UW-River Falls                15-  2   54.121   49.687 (650)
286 Eckerd                        12-  4   54.114   51.370 (443)
287 SMU                           10-  7   54.093   52.816 (343)
288 Bowling Green                  8- 10   54.077   54.687 (220)
289 Christian Brothers            14-  3   54.077   50.190 (581)
290 Portland St                    9-  8   54.069   53.762 (299)
291 Stonehill                     12-  3   54.065   50.578 (531)
292 Loyola Marymount               9- 10   54.063   54.174 (268)
293 Concordia-St Paul             11-  5   54.059   52.125 (382)
294 Florida Int'l                  8-  9   54.033   54.406 (250)
295 Washburn                       9-  8   54.021   53.741 (302)
296 Texas-San Antonio              7-  8   54.020   54.190 (267)
297 Cal Poly SLO                   7-  9   54.017   54.881 (206)
298 Texas Wesleyan                12-  2   54.006   49.867 (620)
299 UW-Stevens Point              13-  3   53.987   50.108 (591)
300 Elon                           8-  9   53.944   54.048 (281)
301 North Carolina A&T             8-  9   53.942   54.356 (254)
302 Appalachian St                 7-  9   53.936   54.470 (242)
303 Virginia Wesleyan             16-  0   53.925   48.169 (965)
304 Tennessee St                  10-  9   53.907   53.374 (321)
305 Bowie St                       9-  2   53.899   50.670 (516)
306 Dixie St                       9-  4   53.883   51.562 (428)
307 Wabash                        14-  2   53.857   49.236 (743)
308 Rollins                       12-  4   53.847   51.090 (473)
309 St Francis NY                  8-  9   53.836   54.102 (274)
310 UC-Irvine                      9- 11   53.823   54.221 (265)
311 Northern Illinois              6-  9   53.820   54.993 (200)
312 Auburn                         7- 10   53.815   54.737 (215)
313 TAMU-Corpus Christi            6- 11   53.798   55.805 (115)
314 Pepperdine                     8- 14   53.769   55.228 (179)
315 Ferris St                     11-  5   53.753   51.797 (408)
316 Louisiana Tech                 9- 10   53.740   54.037 (284)
317 Seattle Pacific                9-  5   53.708   52.040 (387)
318 Augustana SD                  10-  5   53.687   51.866 (405)
319 Albany NY                      8- 12   53.657   54.761 (212)
320 Army                          10-  8   53.646   52.851 (341)
321 Merrimack                      9-  4   53.626   51.543 (431)
322 SE Louisiana St                7-  7   53.609   53.703 (306)
323 Arkansas Tech                 12-  3   53.595   49.680 (652)
324 UC-Riverside                   7-  9   53.534   54.134 (272)
325 Cornell NY                     4- 11   53.534   55.987 ( 93)
326 Indianapolis                  13-  2   53.527   49.400 (706)
327 Harding                       13-  2   53.490   48.901 (811)
328 Bethune-Cookman                9-  8   53.485   53.205 (327)
329 Robert Morris-Chicago         15-  2   53.484   48.599 (869)
330 Drury                         10-  5   53.479   51.432 (440)
331 Westminster UT                14-  4   53.458   50.376 (557)
332 Xavier NO                     16-  2   53.447   49.111 (764)
333 Tougaloo                      14-  3   53.439   49.931 (615)
334 Brown                          6-  8   53.426   53.986 (285)
335 Delaware St                    6-  9   53.425   54.292 (259)
336 Northwestern St               10-  8   53.397   52.774 (344)
337 William & Mary                 5- 12   53.392   55.734 (122)
338 Indiana PA                    11-  3   53.389   50.318 (566)
339 Carroll MT                    12-  4   53.382   50.682 (515)
340 Utah Valley St                 9-  8   53.365   52.617 (352)
341 Randolph-Macon                14-  3   53.332   49.075 (778)
342 Stetson                        6- 12   53.312   55.319 (167)
343 Mountain St                   15-  3   53.303   49.101 (767)
344 San Francisco St               8-  6   53.301   52.398 (363)
345 Walsh                         18-  0   53.294   46.067 (1306)
346 Montevallo                     9-  3   53.291   50.348 (560)
347 Pittsburg St                   9-  5   53.279   51.698 (416)
348 Hawai`i-Hilo                  12-  3   53.270   50.243 (574)
349 Florida Southern              12-  4   53.246   50.600 (526)
350 Winston-Salem                 10-  2   53.204   49.423 (701)
351 Sacred Heart                   7- 10   53.190   54.140 (271)
352 Towson                         4- 12   53.184   55.764 (118)
353 Eastern Illinois               8- 10   53.155   53.630 (311)
354 Southern Nazarene             14-  4   53.151   49.924 (616)
355 BYU-Hawai`i                    8-  4   53.148   51.064 (474)
356 South Alabama                  8-  9   53.147   53.481 (316)
357 Embry-Riddle FL               17-  2   53.140   48.289 (942)
358 Clayton St                    12-  3   53.125   49.435 (700)
359 Lafayette                      7- 11   53.121   54.470 (243)
360 Eastern Kentucky              10-  9   53.108   52.453 (362)
361 Westmont                      13-  5   53.099   50.869 (496)
362 St Mary's TX                  10-  5   53.093   51.342 (445)
363 Indiana Wesleyan              18-  3   53.074   49.332 (722)
364 Michigan Tech                 10-  5   53.048   51.221 (459)
365 Valdosta St                   14-  3   53.040   49.241 (742)
366 Hartford                       5- 11   53.039   54.991 (201)
367 Tennessee Tech                 9-  8   53.016   52.182 (379)
368 Martin Methodist              15-  1   53.000   47.707 (1054)
369 Illinois-Chicago               5- 14   52.990   55.588 (136)
370 Hanover                       12-  3   52.983   49.859 (622)
371 Seattle U.                     8- 12   52.981   54.065 (278)
372 Lindenwood                    17-  1   52.978   47.619 (1077)
373 Nebraska-Omaha                 9-  5   52.969   51.460 (438)
374 Black Hills St                17-  4   52.950   49.705 (643)
375 Middlebury                    13-  0   52.949   46.683 (1231)
376 Stony Brook                    7-  9   52.944   53.574 (313)
377 Missouri Western               8-  7   52.940   52.619 (351)
378 UMass-Lowell                  10-  5   52.940   51.264 (455)
379 St Cloud St                    8-  7   52.915   52.503 (358)
380 Wayne St NE                    9-  6   52.904   52.018 (390)
381 UC-Davis                       7- 11   52.890   53.964 (287)
382 West Virginia St               9-  5   52.880   51.245 (457)
383 Fresno Pacific                12-  7   52.879   51.474 (436)
384 Mississippi Valley St          4- 13   52.844   56.349 ( 66)
385 St Rose                       12-  4   52.844   50.241 (575)
386 Williams                      15-  1   52.840   47.350 (1123)
387 Monmouth NJ                    5- 13   52.837   55.398 (159)
388 Quincy                        10-  5   52.835   50.832 (501)
389 Briar Cliff                   18-  3   52.819   49.015 (789)
390 Minn St-Moorhead              10-  6   52.818   51.609 (424)
391 Georgia Southwestern          11-  3   52.793   48.641 (861)
392 Bryant                         6- 13   52.790   54.597 (226)
393 Lewis                         10-  8   52.784   51.892 (402)
394 Alderson-Broaddus             10-  4   52.783   50.688 (514)
395 CSU-Northridge                 6- 12   52.771   54.493 (239)
396 Wheeling Jesuit                7-  4   52.770   50.972 (483)
397 Adelphi                       10-  5   52.758   50.875 (494)
398 Mercer                         5- 13   52.737   55.063 (193)
399 Grand Canyon                   6-  5   52.736   52.182 (378)
400 Oklahoma Wesleyan             17-  1   52.731   47.589 (1080)
401 Coppin St                      6-  9   52.730   54.094 (276)
402 Limestone                     11-  2   52.717   49.176 (752)
403 Binghamton                     6- 11   52.712   54.638 (224)
404 Central Michigan               5- 12   52.700   54.801 (209)
405 North Dakota                   8-  9   52.695   53.116 (331)
406 Abilene Christian              8-  5   52.689   51.487 (434)
407 Troy                           4- 13   52.682   55.507 (145)
408 New Hampshire                  7- 10   52.674   53.625 (312)
409 Chico St                       9-  5   52.674   50.825 (503)
410 Cornerstone                   17-  3   52.648   48.730 (847)
411 Alabama A&M                    6-  8   52.643   53.748 (301)
412 Dartmouth                      4- 10   52.641   55.225 (180)
413 Mt St Mary's MD                5- 14   52.616   55.406 (158)
414 Oregon Tech                   18-  2   52.606   47.489 (1098)
415 St Martin's                   10-  6   52.600   51.138 (468)
416 Emporia St                     9-  7   52.570   51.926 (399)
417 Oklahoma Baptist U.           13-  4   52.549   49.145 (762)
418 Amherst                       14-  0   52.532   46.199 (1291)
419 SC-Aiken                      10-  6   52.515   51.186 (461)
420 Union TN                      14-  4   52.515   49.578 (672)
421 William Jewell                15-  2   52.497   48.294 (939)
422 Texas-Arlington                7-  9   52.492   53.128 (330)
423 Lake Superior St              10-  5   52.481   50.393 (555)
424 Central Missouri               9-  8   52.437   51.941 (396)
425 CSU-Fullerton                  6- 12   52.429   54.161 (269)
426 Missouri-St Louis             10-  5   52.410   50.364 (558)
427 Nova Southeastern             10-  5   52.392   50.494 (542)
428 The Citadel                    5- 13   52.388   54.962 (204)
429 Kennesaw St                    5- 12   52.386   54.691 (219)
430 Shorter                       15-  3   52.378   48.401 (913)
431 Carleton ON                   12-  2   52.366   47.677 (1061)
432 High Point                     6- 11   52.360   54.054 (279)
433 SW Oklahoma St                10-  9   52.356   51.956 (394)
434 Armstrong Atl St               8-  5   52.353   50.835 (500)
435 Gardner-Webb                   6- 13   52.334   54.390 (252)
436 Bellevue                      15-  3   52.333   48.365 (923)
437 Western Illinois               7- 10   52.332   53.264 (324)
438 Southern Conn St               9-  5   52.329   50.756 (508)
439 Lamar                          8-  8   52.328   52.085 (384)
440 South Dakota                   8- 10   52.324   52.972 (338)
441 Lee TN                        13-  4   52.280   49.451 (695)
442 Mercyhurst                    11-  3   52.263   49.080 (775)
443 Western Washington            10-  4   52.255   49.989 (606)
444 Niagara NY                     4- 14   52.253   55.383 (161)
445 Lewis & Clark OR              12-  3   52.249   48.947 (799)
446 Queens NC                      9-  4   52.238   50.080 (596)
447 Marist                         4- 15   52.229   55.742 (121)
448 TAMU-Int'l                    11-  6   52.211   50.322 (563)
449 Georgia Coll & St              8-  4   52.203   50.252 (572)
450 SW Baptist                     8-  8   52.197   52.188 (377)
451 Flagler                        9-  4   52.182   49.933 (614)
452 Holy Cross MA                  3- 14   52.179   55.506 (146)
453 Eastern Oregon                15-  4   52.167   48.771 (835)
454 St Francis IN                 16-  6   52.155   49.766 (632)
455 UNC-Pembroke                  11-  4   52.141   49.500 (684)
456 Western New Mexico             7- 12   52.124   53.723 (304)
457 UC-San Diego                  10-  8   52.104   51.513 (433)
458 Columbia MO                   15-  3   52.095   47.562 (1085)
459 Marietta                      14-  2   52.082   48.128 (973)
460 Palm Beach Atlantic            9-  7   52.078   51.329 (447)
461 North Carolina Central         7-  8   52.038   52.297 (367)
462 Davenport                     18-  3   52.036   48.021 (991)
463 Bloomfield                     8-  4   52.029   50.327 (561)
464 Arkansas-Fort Smith           12-  6   52.024   50.036 (601)
465 Gannon                         9-  4   52.012   50.015 (603)
466 Idaho St                       6- 13   52.008   54.230 (263)
467 Saginaw Valley St              6-  8   52.001   52.725 (346)
468 UBC                           16-  4   51.996   48.648 (858)
469 St Joseph's IN                 7-  8   51.994   52.296 (368)
470 Southern Utah                  6- 13   51.989   54.046 (282)
471 St Francis PA                  4- 13   51.979   55.110 (188)
472 Texas St-San Marcos            6- 10   51.976   53.291 (322)
473 Trinity Western               14-  2   51.965   47.709 (1052)
474 Nebraska-Kearney               6-  9   51.961   52.990 (335)
475 Cheyney                       11-  3   51.940   48.869 (818)
476 Huntington IN                 15-  5   51.930   48.916 (808)
477 Shaw                          10-  4   51.929   49.610 (666)
478 Wheaton IL                    11-  4   51.907   49.311 (727)
479 Clarion                       10-  3   51.884   48.853 (823)
480 Bemidji St                     8-  8   51.870   51.679 (418)
481 Northeastern St OK             7-  9   51.834   52.524 (357)
482 Lewis-Clark St ID             13-  8   51.822   50.474 (545)
483 WV Wesleyan                    7-  5   51.815   50.651 (518)
484 Fairleigh Dickinson            4- 12   51.814   54.709 (217)
485 Dakota Wesleyan               15-  6   51.805   49.443 (698)
486 Emmanuel GA                   18-  3   51.804   47.433 (1108)
487 Park                          10-  4   51.803   49.528 (678)
488 SW Minnesota St                7-  9   51.803   52.266 (373)
489 Minn-Duluth                    7-  9   51.775   52.488 (359)
490 Cameron                       10-  8   51.773   50.956 (487)
491 Francis Marion                 9-  5   51.766   50.220 (578)
492 UW-Whitewater                 11-  5   51.731   49.758 (633)
493 Longwood                       6- 14   51.719   54.276 (260)
494 UNC-Greensboro                 1- 15   51.702   56.802 ( 38)
495 East Stroudsburg               9-  5   51.695   49.916 (617)
496 Birmingham-Southern           12-  1   51.691   47.124 (1163)
497 Louisiana-Lafayette            3- 14   51.689   55.128 (184)
498 NW Oklahoma St                12-  8   51.683   50.538 (536)
499 St Mary's MD                  12-  3   51.664   48.391 (916)
500 Louisiana-Monroe               6- 13   51.664   53.781 (298)
501 Concordia WI                  12-  2   51.662   47.665 (1066)
502 Laval                          8-  2   51.648   48.176 (964)
503 Eastern Michigan               5- 12   51.642   53.725 (303)
504 Eastern New Mexico             7-  7   51.632   51.593 (425)
505 Texas College                  9-  5   51.622   50.149 (587)
506 Montana-Western               16-  5   51.600   48.285 (944)
507 Pitt-Johnstown                 9-  4   51.599   49.291 (731)
508 Assumption                     8-  8   51.589   51.451 (439)
509 Anderson SC                   10-  6   51.589   50.188 (582)
510 Marian IN                     12-  8   51.583   50.652 (517)
511 John Brown                    14-  4   51.537   48.384 (919)
