Rank                                           Won  Lost  Tied    PF    PA   Rating
 267 Minn St-Moorhead                            9     1     0   869   644   54.592
 268 Weber St                                    3     5     0   583   531   54.553
 269 Arkansas-Monticello                         8     2     0   801   675   54.549
 270 Incarnate Word                             10     1     0   929   743   54.489
 271 Robert Morris PA                            5     8     0   970  1026   54.487
 272 SE Louisiana                                4     6     0   693   750   54.487
 273 Wright St                                   8     7     0  1045   940   54.481
 274 West Georgia                               10     1     0   823   725   54.420
 275 UNC-Asheville                               5     7     0   829   861   54.380
 276 Georgia Southwestern                       10     1     0   838   750   54.365
 277 Grand Valley St                             9     0     0   669   591   54.361
 278 Concordia CA                               12     2     0  1150   932   54.333
 279 Western Carolina                            6     8     0  1011  1050   54.325
 280 Mary Washington                             9     1     0   733   636   54.307
 281 Tulane                                      7     7     0   962  1025   54.305
 282 Acadia                                      5     2     0   573   572   54.279
 283 Yale                                        5     6     0   764   779   54.262
 284 Miami OH                                    5     6     0   725   796   54.261
 285 Utah Valley St                              6     7     0   896   873   54.254
 286 Florida Int'l                               8     6     0   981   970   54.242
 287 North Dakota                                3     8     0   832   854   54.240
 288 Bradley                                     5     8     0   860   879   54.229
 289 St Gregory's                               10     1     0   985   925   54.216
 290 Air Force                                   6     5     0   810   773   54.180
 291 Winthrop                                    6     5     0   847   813   54.169
 292 Dartmouth                                   6     4     0   749   637   54.154
 293 Portland St                                 5     4     0   659   619   54.148
 294 Duquesne                                    6     5     0   872   838   54.146
 295 San José St                                 7     6     0   965   906   54.108
 296 Colorado Mesa                               7     4     0   816   788   54.107
 297 SC-Aiken                                   10     4     0  1074   918   54.103
 298 Midwestern St                              10     3     0   977   841   54.093
 299 Murray St                                   5     7     0   841   864   54.089
 300 Northern St                                10     2     0   962   865   54.088
 301 Vermont                                     4     8     0   823   867   54.073
 302 Southern Conn St                            9     1     0   831   712   54.062
 303 NW Missouri St                              8     4     0   975   824   54.037
 304 Rice                                        6     6     0   851   823   54.032
 305 Brown                                       6     5     0   792   746   54.016
 306 Missouri-St Louis                           7     2     0   720   637   53.984
 307 Lincoln Memorial                            8     1     0   789   631   53.982
 308 Siena                                       5     9     0   996  1036   53.934
 309 Lipscomb                                    5     6     0   842   882   53.916
 310 Fort Hays St                                8     3     0   959   803   53.899
 311 Morgan St                                   3     9     0   837   940   53.892
 312 Texas-Permian Basin                         8     2     0   876   793   53.881
 313 SUNY-Purchase                               7     0     0   539   427   53.870
 314 UNC-Greensboro                              7     7     0  1010  1032   53.868
 315 Northeastern St OK                          9     2     0   865   756   53.858
 316 Colorado College                            6     1     0   519   508   53.846
 317 Illinois-Chicago                            6     9     0  1070  1092   53.845
 318 VMI                                         6     5     0   984   942   53.838
 319 Florida Gulf Coast                          6     7     0   878   871   53.830
 320 UMKC                                        3     9     0   817   964   53.817
 321 St Michael's                                9     2     0   899   780   53.801
 322 Christopher Newport                         8     1     0   692   624   53.796
 323 Young Harris                                8     2     0   862   755   53.757
 324 Hampton                                     6     7     0   894   907   53.731
 325 Columbus St                                 7     3     0   747   705   53.728
 326 Marist                                      3     9     0   740   866   53.707
 327 Loyola-Maryland                             5     5     0   724   779   53.705
 328 Gardner-Webb                                7     7     0  1011   938   53.686
 329 Central Michigan                            6     5     0   806   782   53.676
 330 Charleston WV                               5     3     0   564   564   53.674
 331 Illinois Wesleyan                           9     1     0   865   669   53.673
 332 Livingstone                                 7     2     0   765   674   53.662
 333 Augustana IL                               10     1     0   837   632   53.616
 334 Chicago St                                  5     8     0   925  1033   53.615
 335 Texas Southern                              4     8     0   918   982   53.607
 336 Northwood MI                                6     6     0   924   923   53.599
 337 Walsh                                       6     2     0   740   575   53.594
 338 Charleston Southern                         5     6     0   993   826   53.581
 339 Southern Oregon                            13     2     0  1327  1063   53.565
 340 Coppin St                                   4     8     0   835   951   53.559
 341 North Florida                               6     7     0   915   973   53.554
 342 Arkansas-Fort Smith                         7     4     0   969   831   53.548
 343 James Madison                               4     9     0   809   891   53.545
 344 Cardinal Stritch                           12     3     0  1118  1032   53.539
 345 Arizona Christian                          12     3     0  1143   997   53.535
 346 Evangel                                    11     2     0  1072   953   53.532
 347 Alaska-Anchorage                            8     4     0  1093   876   53.520
 348 Montana St                                  5     6     0   802   775   53.515
 349 Johnson C. Smith                            9     2     0   843   769   53.506
 350 Northern Kentucky                           4     8     0   815   911   53.500
 351 SW Minnesota St                             8     5     0   978   916   53.486
 352 St Leo                                     10     2     0   942   806   53.444
 353 Delta St                                    9     2     0   811   702   53.440
 354 Arkansas Tech                               6     4     0   806   713   53.438
 355 Dominican NY                                8     1     0   730   646   53.420
 356 Texas St-San Marcos                         4     8     0   766   810   53.401
 357 Cal Poly Pomona                             5     3     0   553   505   53.394
 358 Benedictine KS                             10     1     0   841   725   53.386
 359 Truman St                                   8     2     0   826   636   53.375
 360 LIU-Brooklyn                                4     8     0   895  1006   53.374
 361 Wagner                                      5     7     0   840   895   53.347
 362 Midland U.                                 13     2     0  1130  1010   53.341
 363 American U.                                 4     7     0   688   678   53.327
 364 TAMU-Int'l                                  9     4     0  1078   916   53.319
 365 Hillsdale                                   5     4     0   648   612   53.266
 366 UC-San Diego                                5     3     0   610   513   53.251
 367 Hofstra                                     3     8     0   759   822   53.249
 368 Alberta                                    13     4     0  1356  1151   53.240
 369 Wingate                                     8     2     0   789   698   53.240
 370 Tennessee Tech                              7     8     0  1117  1066   53.208
 371 Sacramento St                               4     5     0   571   598   53.204
 372 High Point                                  4     8     0   835   882   53.200
 373 South Dakota                                3     9     0   846   936   53.196
 374 Niagara NY                                  4     9     0  1007  1076   53.193
 375 West Alabama                                6     6     0   877   836   53.192
 376 Wheeling Jesuit                             5     2     0   549   528   53.170
 377 Liberty                                     6     7     0   929   854   53.167
 378 Idaho St                                    3     6     0   652   650   53.165
 379 Bowdoin                                     9     0     0   663   523   53.160
 380 Coll of the Ozarks MO                       9     3     0  1060   985   53.135
 381 Troy                                        5     7     0   792   803   53.124
 382 Fairfield                                   3     9     0   740   820   53.091
 383 Anderson SC                                 7     4     0   825   802   53.089
 384 Bentley                                     8     3     0   966   845   53.084
 385 East Central                                6     4     0   798   726   53.078
 386 Valdosta St                                 7     1     0   679   603   53.068
 387 UC-Riverside                                4     8     0   782   812   53.029
 388 Messiah                                     8     0     0   622   542   53.017
 389 Florida Tech                               11     1     0  1025   929   53.016
 390 Fairmont St                                 7     3     0   863   750   53.012
 391 Ferris St                                   6     3     0   713   702   53.003
 392 Western Illinois                            7     8     0   951   862   53.002
 393 Mt St Mary's MD                             3     8     0   776   893   52.998
 394 Southern Illinois                           5     9     0   978   962   52.994
 395 Austin Peay                                 5     8     0   975  1028   52.992
 396 Slippery Rock                              10     3     0  1003   836   52.979
 397 Lafayette                                   4     7     0   825   845   52.974
 398 Tennessee-Martin                            5    10     0  1065  1194   52.957
 399 Northern Arizona                            3     9     0   797   881   52.951
 400 Pikeville                                  10     1     0  1079   730   52.947
 401 Freed-Hardeman                              7     0     0   607   481   52.930
 402 Ball St                                     2     7     0   576   669   52.922
 403 Central Oklahoma                            9     3     0  1023   937   52.921
 404 Arkansas-Little Rock                        4     9     0   922   995   52.912
 405 Southern U.                                 4     9     0   904   933   52.912
 406 Pennsylvania                                2     8     0   712   782   52.911
 407 Defiance                                    8     1     0   643   557   52.911
 408 Loyola-Chicago                              5     7     0   819   820   52.907
 409 St Mary's NS                                6     3     0   758   691   52.900
 410 Missouri Western                            6     5     0   851   844   52.891
 411 UW-Whitewater                               8     2     0   810   661   52.879
 412 Columbia MO                                10     1     0  1001   720   52.879
 413 New Haven                                   7     3     0   710   599   52.875
 414 Virginia Wesleyan                           8     2     0   880   715   52.873
 415 Richard Stockton                            9     1     0   753   651   52.862
 416 Hartford                                    5     9     0   923   989   52.857
 417 St Cloud St                                 8     2     0   812   657   52.827
 418 Dubuque                                     8     0     0   713   584   52.814
 419 Alabama St                                  6     5     0   793   779   52.802
 420 Augustana SD                                8     7     0  1151  1074   52.801
 421 Wofford                                     4     7     0   689   718   52.801
 422 McNeese St                                  2    10     0   755   977   52.801
 423 Jacksonville St                             6     9     0  1015  1075   52.784
 424 Florida Atlantic                            3    10     0   879   932   52.757
 425 Dickinson                                   9     2     0   845   684   52.755
 426 Wesley DE                                   7     1     0   638   525   52.744
 427 Grand Canyon                                5     7     0   860   820   52.721
 428 Washington MO                               6     2     0   637   565   52.710
 429 Friends                                     9     2     0   952   844   52.700
 430 Hawai`i Pacific                             7     4     0   803   794   52.700
 431 George Brown                                8     2     0   792   700   52.692
 432 UNC-Pembroke                               10     2     0   985   893   52.692
 433 Dowling                                    10     1     0   805   746   52.689
 434 Westmont                                    9     3     0   924   788   52.687
 435 St Anselm                                   7     3     0   913   799   52.678
 436 Emporia St                                  9     6     0  1132  1059   52.670
 437 Dordt                                      14     1     0  1395  1162   52.654
 438 Brockport St                                4     1     0   414   340   52.599
 439 Navy                                        5     5     0   674   649   52.590
 440 St Xavier                                  13     2     0  1393  1155   52.569
 441 Black Hills St                              6     5     0   879   850   52.537
 442 John Brown                                 11     0     0   998   839   52.526
 443 St Peter's                                  4     7     0   728   760   52.519
 444 Central Connecticut St                      4     8     0   835   925   52.497
 445 Western Oregon                              8     4     0   950   889   52.493
 446 Embry-Riddle FL                            10     1     0   909   707   52.491
 447 Fairleigh Dickinson                         3    10     0   824  1003   52.474
 448 Stevenson                                   8     1     0   755   633   52.474
 449 Houston Baptist                             3     9     0   769   931   52.471
 450 North Alabama                               8     4     0  1057   924   52.466
 451 Bethany WV                                  9     1     0   775   648   52.461
