Rank,Team,Won,Lost,Tied,PF,PA,Rating
364,CHRIS. NEWPORT,13,3,0,1272,1120,102.065
365,VERMONT,8,8,0,1058,1025,102.044
366,ST. THOMAS (TX),10,2,0,935,820,102.032
367,PORTLAND,5,12,0,1197,1347,102.026
368,SOUTH CAROLINA ST.,7,9,0,1211,1118,102.018
369,ANGELO ST.,9,4,0,917,824,102.006
370,NIAGARA,6,8,0,953,992,102.001
371,SAINT PETER'S,5,6,0,765,725,101.995
372,ANDERSON (IN),9,4,0,1083,1023,101.941
373,LONG BEACH ST.,6,10,0,1067,1137,101.937
374,ST. EDWARD'S,10,5,0,1223,1059,101.937
375,HARVARD,5,8,0,872,923,101.924
376,FAIRMONT ST.,11,1,0,1033,903,101.920
377,CARSON-NEWMAN,11,5,0,1419,1357,101.905
378,TREVECCA NAZARENE,9,4,0,1083,943,101.899
379,UNG,10,4,0,1057,972,101.881
380,GEORGIA ST.,5,10,0,1072,1175,101.876
381,MAINE,8,8,0,1137,1079,101.875
382,WESTERN ILL.,8,7,0,1063,1042,101.849
383,COLUMBUS ST.,10,2,0,1006,879,101.845
384,WIS.-OSHKOSH,9,3,0,938,860,101.838
385,WHITWORTH,10,1,0,906,742,101.834
386,CAL ST. DOM. HILLS,10,3,0,995,903,101.828
387,CUMBERLAND (TN),1,1,0,137,158,101.822
388,RANDOLPH-MACON,9,4,0,954,800,101.815
389,SIOUX FALLS,7,7,0,1056,1041,101.789
390,CUI,9,5,0,1035,967,101.785
391,WEBER ST.,6,10,0,1222,1141,101.779
392,EVANSVILLE,5,10,0,974,1051,101.764
393,CHAMINADE,11,3,0,1262,1094,101.764
394,NORTH PARK,9,4,0,991,997,101.764
395,BOSTON U.,7,8,0,1018,1016,101.740
396,BIOLA,10,4,0,1079,982,101.740
397,TRUMAN ST.,7,5,0,906,929,101.740
398,EAST STROUDSBURG,9,3,0,1045,955,101.739
399,IONA,5,10,0,1005,1097,101.721
400,UMBC,8,8,0,1330,1226,101.715
401,ACADEMY OF ART,8,5,0,1009,932,101.711
402,COASTAL CAROLINA,8,7,0,1038,1007,101.710
403,SACRED HEART,6,8,0,1064,1059,101.680
404,MOREHEAD ST.,8,7,0,1057,1078,101.676
405,HOWARD,6,9,0,1163,1189,101.676
406,DELAWARE ST.,7,8,0,1117,1103,101.657
407,SOUTHEASTERN LA.,6,8,0,987,967,101.636
408,BUFFALO,5,8,0,960,1066,101.621
409,ST. CLOUD ST.,9,7,0,1204,1161,101.586
410,FORT LEWIS,8,5,0,953,916,101.579
411,CATAWBA,8,5,0,1069,1037,101.570
412,UCHICAGO,9,2,0,825,664,101.565
413,OREGON TECH,1,0,0,107,75,101.558
414,CAL ST. FULLERTON,5,11,0,1009,1170,101.550
415,BABSON,7,4,0,830,758,101.535
416,PITTSBURG ST.,7,6,0,976,956,101.520
417,DARTMOUTH,6,7,0,1036,938,101.479
418,CHARLESTON SO.,5,12,0,1244,1336,101.451
